gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
SZRD1,436.08,5416.119049961513,0.6688401681466516,True
NECAP2,373.86,5528.367324669034,0.6619769290939141,True
CROCCP3,249.26,5674.441812442407,0.6530454410001585,True
LINC01772,280.36,5534.789861238923,0.6615842334919644,True
NBPF1,214.94,5855.062922316542,0.6420016556211224,True
ENSG00000291072,214.24,5839.974634273944,0.6429242045690038,True
MST1P2,237.9,5777.7223085600335,0.6467305222525201,True
CROCC,147.92,6252.881273997759,0.6176776964843926,True
ENSG00000238142,286.42,5301.56338403158,0.6758444889005454,True
ATP13A2,264.84,5651.886197740254,0.6544245675487463,True
SDHB,297.5,5714.275439539098,0.6506098783528524,True
PADI2,161.04,5653.485747251862,0.6543267656831634,True
PADI4,257.82,5200.896670509599,0.6819995921424886,True
RCC2,222.54,6110.783466561399,0.6263660368962765,True
ARHGEF10L,168.24,5586.953401394206,0.6583947782699966,True
ALDH4A1,279.6,5322.430393312279,0.6745686093969869,True
IFFO2,186.12,6029.5106651544165,0.6313353307762509,True
ENSG00000272084,302.12,5440.624210735881,0.6673418397593469,True
UBR4,333.0,5652.797560560201,0.6543688437444084,True
EMC1,207.24,6172.8757740457795,0.6225695032683718,True
MRTO4,253.44,5612.038561740151,0.6568609867477744,True
AKR7A3,241.04,5510.294367866182,0.6630819707816458,True
AKR7A2,278.16,5619.291387577547,0.656417524452611,True
SLC66A1,376.84,5343.103972993364,0.6733045568331786,True
CAPZB,469.44,5291.705881829167,0.6764472099156731,True
MICOS10,339.6,5497.342532887478,0.6638738897653635,True
NBL1,190.66,5717.002008825487,0.6504431666875276,True
ENSG00000226396,219.98,5869.105877266108,0.6411430218730597,True
TMCO4,187.36,6207.907210715119,0.6204275627810995,True
OTUD3,211.88,6092.474302231541,0.627485521110881,True
PLA2G2A,179.62,5328.466524078383,0.674199539952407,True
UBXN10,219.7,5334.590092426631,0.6738251242784083,True
CAMK2N1,151.88,5947.138599652293,0.6363718373798659,True
MUL1,214.62,5926.895553082377,0.6376095656935263,True
CDA,234.82,5618.695045942244,0.6564539867965611,True
PINK1,237.52,5697.181126654056,0.6516550824424301,True
PINK1-AS,340.72,5556.883799542286,0.6602333353994322,True
DDOST,291.04,5820.512635784107,0.6441141769621457,True
HP1BP3,207.08,6211.19202419588,0.6202267181781791,True
EIF4G3,257.1,5655.889046419586,0.6541798198459441,True
ECE1,224.78,5917.428942239277,0.6381883862892523,True
ECE1-AS1,313.2,5340.811004111931,0.6734447567036423,True
NBPF3,185.82,5581.611130921019,0.658721422750167,True
ALPL,116.24,6053.3848661405755,0.6298755814038168,True
LINC02596,192.78,5739.18323097344,0.6490869317656105,True
RAP1GAP,89.48,5212.093148852119,0.6813150015987699,True
USP48,310.96,5754.170936537139,0.6481705327705816,True
HSPG2,212.08,5377.402605150985,0.6712074224915325,True
ENSG00000305448,189.96,5276.929246295797,0.6773507033753716,True
CELA3B,236.1,5181.03392761863,0.6832140674033245,True
CELA3A,199.7,5178.917288552296,0.6833434858726815,True
LINC00339,256.98,5623.865478562406,0.6561378490637477,True
CDC42-AS1,277.84,5625.103014114076,0.6560621819557275,True
CDC42,403.12,5498.195439122413,0.6638217401942884,True
WNT4,275.46,5671.198151510638,0.6532437693970872,True
ZBTB40,184.66,6236.014911968092,0.6187089628879185,True
C1QA,117.82,5278.80673141262,0.6772359075871219,True
C1QC,108.72,5226.1911728217065,0.6804530007446221,True
C1QB,110.78,5229.7009971184425,0.6802383982196,True
EPHB2,221.24,5249.683592007646,0.679016594802345,True
KDM1A,239.4,6125.616257239375,0.6254591099211633,True
LUZP1,195.36,6050.575602557071,0.6300473492780758,True
LINC01355,194.5,5824.613843235402,0.643863415271452,True
