gene	n_merged_intervals	total_band_width	frac_holdouts_outside
TNFRSF1B	1	272315.06443708506	0.0
ENSG00000296888	1	1548.2607997176	0.0
VPS13D	1	8476.7086139412	0.0
DHRS3	1	6721.112629668797	0.0
PRDM2	1	7252.868899568363	0.0
KAZN	1	3616.0561098696203	0.0
TMEM51	1	1043.5802186430872	0.0
EFHD2-AS1	1	499.18591950187744	0.0
EFHD2	1	100591.2491894694	0.0
CTRC	2	1783.0653880064021	0.0
CASP9	1	2485.3253385316866	0.0
DNAJC16	1	1949.6397948360113	0.0
AGMAT	1	1733.9801563556691	0.0
DDI2	1	6054.346109459805	0.0
PLEKHM2	1	13705.622091908965	0.0
SLC25A34	1	633.7502070243394	0.0
FBLIM1	1	1170.4607090371221	0.0
SPEN-AS1	1	1098.3479855962812	0.0
UQCRHL	2	887.3969420788974	0.0
SPEN	1	15691.373196540404	0.0
ZBTB17	1	6323.631897606528	0.0
HSPB7	2	20723.34700360916	0.0
ARHGEF19	1	3267.6670472859464	0.0
ENSG00000291077	1	741.7134962433023	0.0
ENSG00000288398	1	369.1287800476439	0.0
CPLANE2	1	176.45481827041843	0.0
ENSG00000293791	1	246.18373689802553	0.0
FBXO42	1	4835.993816206794	0.0
SZRD1	1	7625.712727575324	0.0
NECAP2	1	6939.158275079155	0.0
CROCCP3	1	626.758090364803	0.0
LINC01772	1	310.0515175356374	0.0
NBPF1	1	621.2244152704981	0.0
ENSG00000291072	1	6130.916198442578	0.0
MST1P2	1	341.10591409629967	0.0
CROCC	1	5377.198829055043	0.0
ENSG00000238142	1	284.8393473771905	0.0
ATP13A2	1	5563.198296668779	0.0
SDHB	1	8465.455131877301	0.0
PADI2	1	90674.7377346459	0.0
PADI4	1	106672.28999364325	0.0
RCC2	1	7575.725781463296	0.0
ARHGEF10L	1	3494.042625310206	0.0
ALDH4A1	1	5835.009558920681	0.0
IFFO2	1	2832.6504806090584	0.0
ENSG00000272084	2	723.0326763171989	0.0
UBR4	1	29690.62870415792	0.0
EMC1	1	3402.0313701654973	0.0
MRTO4	1	1964.4966914889328	0.0
AKR7A3	2	6353.719571844106	0.0
AKR7A2	1	4895.8304546942145	0.0
SLC66A1	2	3515.6609050775132	0.0
CAPZB	1	48184.492984004624	0.0
MICOS10	1	2497.278930129575	0.0
NBL1	1	2110.802075446922	0.0
ENSG00000226396	1	634.9772843474741	0.0
TMCO4	1	3055.6231613559507	0.0
OTUD3	1	1701.890126369892	0.0
PLA2G2A	1	51269.24978367433	0.0
UBXN10	2	1474.9928232753293	0.0
CAMK2N1	1	1182.8306167432015	0.0
MUL1	1	2803.829886151921	0.0
CDA	1	41644.18554158674	0.0
PINK1	1	11204.631667340978	0.0
PINK1-AS	1	467.19866989418045	0.0
DDOST	1	23312.682631167478	0.0
HP1BP3	1	15495.199627648914	0.0
EIF4G3	1	10083.650791133048	0.0
ECE1	1	52404.85826218546	0.0
ECE1-AS1	1	381.74325256774745	0.0
NBPF3	1	753.4055596791093	0.0
ALPL	1	337067.21315642964	0.0
LINC02596	1	531.5183861289692	0.0
RAP1GAP	1	45849.78283233729	0.0
USP48	1	7549.720783514503	0.0
HSPG2	1	4894.799806965352	0.0
ENSG00000305448	1	495.9161158312768	0.0
CELA3B	2	4721.1494354041015	0.0
CELA3A	1	2558.8980258420142	0.0
LINC00339	1	215.4383765098756	0.0
CDC42-AS1	1	202.9120171571699	0.0
CDC42	1	47748.636682999626	0.0
WNT4	1	184.85526396686188	0.0
ZBTB40	1	10496.804378869016	0.0
C1QA	1	48182.773686910725	0.0
C1QC	1	58653.64513454833	0.0
C1QB	1	86289.32477127791	0.0
EPHB2	1	913.6423548311909	0.0
KDM1A	1	5142.1717437728275	0.0
LUZP1	1	3347.4280150525046	0.0
LINC01355	1	622.7497985508138	0.0
HNRNPR	1	9128.396523422598	0.020000000000000018
ZNF436	1	597.5614143766089	0.0
TCEA3	1	3797.874262727732	0.0
ASAP3	1	849.5305587056374	0.0
