gene,mean_n_neighbors,mean_neighbor_popularity,median_neighbor_popularity,specificity
DTNB,260.6,5831.421068735133,5748.16,0.6434471984876103
PPIL3,236.42,5831.536195871824,5588.95,0.6434401592252018
HS1BP3,253.38,5831.579465747724,5732.48,0.643437513558684
LINC00265,236.0,5831.586612043585,5616.98,0.6434370766099917
ZNF3,333.96,5831.653015526498,5564.12,0.6434330164765211
PLSCR3,252.98,5831.667582750871,5577.27,0.6434321257871678
ANKMY2,299.5,5831.697758588765,5521.26,0.6434302807344074
CACNA1H,196.56,5831.710536219725,5709.8,0.6434294994668466
TTI2,247.8,5831.782632967699,5774.29,0.6434250912278998
PCDH12,260.9,5831.860593097261,5632.22,0.6434203244819774
SHISAL2A,204.38,5831.868840305597,5671.08,0.643419820219774
GIMAP6,193.14,5831.994521707421,5735.66,0.6434121356339089
DHX9,312.58,5832.034797250967,5580.9,0.6434096730509956
MATCAP1,251.88,5832.045703177774,5699.33,0.6434090062257551
ENSG00000253214,171.66,5832.114868497484,5770.53,0.6434047772242444
PREPL,204.08,5832.271868385021,5482.71,0.6433951777202678
HOXC4,211.1,5832.282894726054,5707.54,0.6433945035324944
ENSG00000245025,260.74,5832.315972550417,5600.95,0.6433924810424692
BBS2,245.04,5832.354111810548,5562.62,0.6433901490791472
MCOLN1,215.56,5832.450451915418,5790.79,0.6433842585193874
STK26,178.9,5832.459601187284,5579.09,0.6433836991019698
LSM8,218.36,5832.536601522426,5505.96,0.6433789910411234
ENSG00000287691,195.22,5832.616302515285,5741.21,0.6433741178529327
KDM4A-AS1,244.46,5832.756703897744,5596.85,0.64336553323768
PAXIP1-DT,260.9,5832.800621138109,5539.64,0.6433628479891098
RNF213-AS1,143.46,5832.8092394680925,5768.33,0.6433623210352741
ENSG00000279432,164.88,5832.911925076975,5770.11,0.6433560424899434
EIF5A2,233.58,5832.915003546963,5660.17,0.6433558542618794
TMEM97,199.72,5833.030029635334,5732.75,0.6433488211779068
LINC01215,163.08,5833.030416438681,5508.3,0.6433487975274423
RAB11FIP1,164.04,5833.050892729332,5735.02,0.6433475455377968
RASSF1-AS1,259.26,5833.078711287945,5660.14,0.6433458446170623
HMGB3P32,206.16,5833.123654660998,5685.12,0.6433430966272701
