gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
CSTF2,195.28977522231162,752.0817833473828,0.22801729785264702,1.0,17
UFD1,1090.4088856886008,2231.1969106902707,0.22800237938246126,0.98,5
FASTKD1,170.07204341601457,799.4023641912721,0.22800167854360098,0.94,19
ENSG00000268030,102.98959390243118,416.86482595247315,0.22799834994933732,0.98,11
ZNF708,303.70759817387244,1616.3630173920667,0.22799394387660243,0.96,17
HIF1A,9503.683846501077,42413.01955783339,0.22794841121245457,0.94,17
LIPT1,64.1349593473492,289.1606634634977,0.2279295124055225,0.96,15
ZC3H12C,32.42219000139641,196.53720547484554,0.2279079863574761,0.96,11
TYSND1,610.31729519788,2308.248986820584,0.2279002714836078,0.96,17
SPINK8,34.88232825548585,216.32274837861323,0.22789723696014108,0.94,12
ENSG00000279716,566.0581745480205,2006.4307860376423,0.22789416387357087,1.0,13
ELK1,679.7537953985641,1974.7102113374817,0.22782314009040783,1.0,10
IPPK,74.42961774857815,264.7710936111331,0.22781278517621595,0.98,13
PPP3CC,739.0571891314903,3608.7584937435645,0.22779360790994874,1.0,13
CFAP70,65.51645119122631,281.2094213433351,0.22778921743627323,0.96,17
MANSC1,3909.9771747920145,17064.584273224806,0.22777330147312047,0.98,18
ADHFE1,264.0966552656737,1465.4856827385033,0.22776882157132938,0.98,16
MON1B,2304.517787431491,5199.293306683263,0.22772166646418812,0.96,14
DSTNP2,34.853233055208136,115.3513399057703,0.22771782581210132,0.98,7
AP3D1,3549.612063816142,8022.239319565521,0.22770478218601542,1.0,12
ENSG00000260920,40.42056388560042,157.82109718465134,0.2276732079246303,0.96,9
FAM162A,739.5877263690767,3973.7879239046474,0.22764600457320416,0.96,19
HDAC1,3693.9423695658975,9328.574447387622,0.22764443163789916,1.0,12
EARS2,233.05634264550434,934.2785870565386,0.22759005107479313,0.98,11
MAD2L1BP,622.491537372489,1925.6301456110696,0.22757586634749427,1.0,12
MTR,416.7959060447327,2192.8364669934053,0.22749160613452246,0.94,19
PHB2,4546.421883654088,10826.952430789383,0.22748800247378897,1.0,8
WDR83OS,1844.8127123917734,3936.78207831838,0.2274842858991868,0.98,8
QARS1,4291.600188509165,10312.198027956569,0.22748319039820097,0.98,9
EEF2KMT,78.08747412032587,326.9559080260193,0.2274746636754591,0.96,11
KAT14,187.69897911307228,830.9083096362167,0.22746695878906442,1.0,13
PARD6A,159.84584100439477,561.899909155919,0.22742676676668472,0.98,9
MAVS,3428.4903089016725,11555.150767926134,0.22742464675890772,0.98,14
ESS2,860.3128019889361,1723.1577465899743,0.22742391700400222,0.98,10
ENSG00000280071,135.70950544129613,537.9309380442104,0.22742087103809494,1.0,21
MFSD11,599.8314300351855,1446.4878533191434,0.227416312699684,1.0,11
HLA-DQA1,2910.340068781841,20809.895487756727,0.22740985587021267,0.96,23
TRIM11,1410.9093780601584,3174.5760611253195,0.22740917562802687,0.98,15
ITGAL,18476.176004297464,74624.55186648984,0.22729968243788212,1.0,17
NOMO2,209.17100463907275,1022.6321602927914,0.22728860445500665,1.0,17
SYNE2,2870.758572292339,13739.96649429158,0.22727630170961755,0.92,18
MRPS23,294.9025761472697,1123.962930644153,0.22727442745503157,0.98,8
ADA2,7145.76055238072,31340.955066673836,0.22727101634595936,0.98,19
NDUFS8,1294.755587410013,4461.741818685857,0.22726812115738793,1.0,14
SLFN12L,1227.684386691368,9843.652544956003,0.22723623800388337,0.98,32
PLXNB2,5051.217157102465,22155.782631335755,0.22723596020969927,1.0,26
ENSG00000264666,19.295573607117035,148.9733314852851,0.22722334809093625,0.92,8
HERPUD1,3895.9708478160796,11679.867983671582,0.22721014567926245,1.0,16
ENSG00000231964,452.7335981015501,1789.1121507442763,0.22720853847641143,0.98,10
DDX39B,10513.715742106064,20075.758311897895,0.2271885840864879,0.98,15
SP2,1805.7800971939828,4570.526698974739,0.22718801313990988,1.0,12
TXLNGY,111.88590992114341,911.8552281779855,0.2271751615436114,0.78,22
SMIM12,1247.2026358703838,3027.3318317492162,0.22716119391458323,1.0,10
BNC2,84.6890062352186,640.3410275024163,0.227133229497139,0.96,11
ENSG00000260257,695.5219057774597,2105.763340836695,0.22711269362178998,0.98,15
KDM5C,5892.8091498624835,17257.311143683426,0.22707732487946797,0.98,16
GCLM,742.9727072403217,3249.943947693675,0.22702283144982383,1.0,15
