holdout,K,set_size,tuple_first5,genes_first10
25,2,7,"(2, 3)",MYL1;NEU4;HLA-V;ANKRD1;MYH1;MYH2;ENSG00000289404
25,2,6,"(3, 9)",ANGPTL3;ADH1A;ENSG00000284858;BAAT;CPB2;SERPIND1
25,2,6,"(1, 3)",KNG1;GC;ADH4;ADH6;BHMT;GLYAT
26,2,7,"(5, 11)",CELA3B;CELA3A;REG1A;CPA1;PNLIP;GP2;CTRB2
26,2,4,"(106, 475)",MLH1;LRRFIP2;OXR1;BUB1B
26,2,4,"(0, 2)",ENSG00000301400;ENSG00000285888;POM121L14P;ENSG00000267780
26,2,4,"(3, 5)",PGC;ENSG00000234426;LINC01300;LIPF
26,2,3,"(6, 532)",TPRG1L;BAZ1A;ENSG00000273284
27,2,8,"(5, 11)",CPB1;CLPS;PNLIP;ENSG00000305207;PLA2G1B;GP2;CTRB1;ENSG00000289955
27,2,6,"(3, 11)",PM20D1;ENSG00000285639;KRT81;SULT2A1;ENSG00000255438;ENSG00000297167
27,2,6,"(58, 67)",DNAJC19P5;FAM234B;CDKN3;ENSG00000308281;ENSG00000287553;SPAG4
27,2,6,"(520, 565)",FAXDC2;TRBV6-1;GFI1B;ENSG00000236304;NT5M;ABCC3
27,2,4,"(150, 454)",MKNK1-AS1;ENSG00000296911;FPR2;KCNE1
28,2,10,"(3, 5)",APCS;CRP;SLAMF9;AHSG;HRG;FGB;HUS1B;PRG3;APOC3;APOH
28,2,5,"(1, 3)",KNG1;GC;BHMT;CYP2C9;GLYAT
28,2,5,"(1, 5)",GSTA2;NCS1;GLYATL1;MMP2-AS1;ENSG00000276980
28,2,5,"(58, 67)",ENSG00000246250;LINC02259;ENSG00000261592;ENSG00000287553;ENSG00000265100
28,2,4,"(5, 11)",C8B;MT1H;ENSG00000289955;LBP
29,2,12,"(5, 11)",CELA3B;CELA3A;CPB1;ENSG00000300652;CLPS;CPA1;PNLIP;PLA2G1B;IGHV7-4-1;GP2
29,2,4,"(88, 405)",FIGN;PPP1R14BP3;ENSG00000308350;ENSG00000308562
29,2,4,"(200, 405)",ENSG00000309937;DIAPH3;ENSG00000285653;RN7SL566P
29,2,4,"(67, 676)",NICOL1;ENSG00000283103;ZCCHC3;DNASE1L1
29,2,4,"(48, 300)",NAA15;LRRC4;DENND10;RRP8
30,2,9,"(5, 11)",CELA3B;CELA3A;REG1A;CPB1;CPA1;PNLIP;GP2;CTRB2;CTRB1
30,2,8,"(0, 2)",MINDY4B;ENSG00000301400;NR2E1;ENSG00000226816;CYP19A1;ABCC11;ENSG00000267780;UMODL1-AS1
30,2,6,"(433, 630)",REL;ENSG00000272072;ENSG00000269952;NEMP1;HIF1A-AS3;ZNF460
30,2,5,"(1, 2)",ENSG00000288524;XIRP2;SLN;MAPK8IP1P2;TGFB1
30,2,4,"(261, 713)",ENSG00000240731;RAB28;KLHL3;TBC1D2B
31,2,56,"(79, 586)",FAM76A;AGO3;LRRC40;USP33;CEPT1;RABGAP1L;RO60;SMC6;WDR43;FASTKD1
31,2,50,"(382, 586)",CYB5RL;RPAP2;SIKE1;ZNF892;METTL8;ZNF619;TOMM70;SDAD1;SMARCAD1;RAD17
31,2,20,"(79, 382)",LINC00339;ZFP69;ZBTB41;MTREX;CKMT2-AS1;GTPBP10;MTERF1;CBLL1;TRUB1;MSANTD4
31,2,19,"(550, 586)",DNAJC16;PIGM;RRP15;TRMT61B;PRPF40A;ENSG00000213963;AASDH;VPS41;AP3M1;C10orf88
31,2,17,"(586, 655)",EFCAB14;GABPB2;DDX18;SHQ1;ATP2C1;HAUS3;PPAT;METAP1;MMAA;NCOA7
32,2,9,"(3, 5)",SLAMF9;FMO3;ENSG00000298780;ENSG00000279862;HUS1B;ENSG00000304009;H2BC14;ENSG00000261026;ENSG00000269480
32,2,8,"(3, 11)",ENSG00000285639;LINGO2;KRT81;RAMP2;SULT2A1;RRAS;ENSG00000297167;F8A1
32,2,7,"(1, 3)",ADH4;ADH6;BHMT;CYP2C9;GLYAT;CLEC4C;CTXN2-AS1
32,2,6,"(242, 319)",MMP23B;IGKJ5;ENSG00000247134;ENSG00000276809;HISLA;ENSG00000300742
32,2,5,"(3, 9)",ANGPTL3;ENSG00000286942;ENSG00000235151;ENSG00000307919;ENSG00000278341
33,2,10,"(0, 2)",MINDY4B;ENSG00000301400;ENSG00000249261;ENSG00000285888;POM121L14P;NR2E1;ENSG00000226816;ENSG00000302909;ENSG00000267780;UMODL1-AS1
33,2,6,"(2, 4)",NMRAL2P;ENSG00000293809;ENSG00000251584;ENSG00000307670;CLEC6A;FAM169BP
33,2,5,"(2, 9)",TRDN;ENSG00000289382;DNAI7;ENSG00000295095;ADGRG2
33,2,5,"(1, 2)",ENSG00000290116;RCBTB2P1;TRAPPC2L;MAPK8IP1P2;ENSG00000274276
33,2,4,"(0, 1)",ENSG00000304616;ENSG00000296337;ENSG00000287927;ENSG00000296403
34,2,8,"(3, 5)",APCS;CRP;AHSG;FGB;ENSG00000304009;H2BC14;MAT1A;TAT
34,2,4,"(3, 9)",ANGPTL3;ADH1A;ENSG00000284858;TXLNGY
34,2,4,"(74, 439)",ANKRD39;GFM1;ENSG00000279086;SAMD4A
34,2,4,"(3, 6)",LINC00278;TTTY14;BCORP1;ENSG00000260197
34,2,3,"(62, 133)",TNFRSF4;ZC3H3;ENSG00000279330
35,2,5,"(117, 464)",LINC02608;IHO1;ENSG00000288096;ZNF181;KCNG1
35,2,5,"(0, 2)",MINDY4B;NR2E1;ENSG00000302909;CYP19A1;UMODL1-AS1
35,2,5,"(464, 627)",ENSG00000273329;TRBV13;MAN1B1-DT;ELL3;MIR3677HG
35,2,5,"(3, 6)",LINC00278;UTY;TTTY14;BCORP1;ENSG00000260197
35,2,4,"(117, 517)",LINC01786;ENSG00000300652;TRAV6;ENSG00000280027
36,2,8,"(5, 11)",CELA3B;CLPS;CPA1;PNLIP;PLA2G1B;GP2;CTRB2;CTRB1
36,2,7,"(3, 5)",ENSG00000298780;HRG;PGC;A1CF;LIPF;TAT;HAO1
36,2,6,"(0, 129)",KIF14;CENPE;HMMR;CDCA2;KNSTRN;KIF4A
36,2,5,"(1, 3)",ADH4;ENSG00000303981;CYP2C9;GLYAT;CTXN2-AS1
36,2,4,"(429, 699)",ENSG00000284735;ENSG00000230747;MINDY4B;TRBV13
37,2,18,"(5, 11)",CELA3B;CELA3A;C8B;PKLR;REG1A;FABP1;CPB1;FGG;CPA1;SFTPA2
37,2,17,"(658, 749)",PNRC2;INSIG2;NAA50;DCUN1D4;G3BP2;PHIP;DDX21;WAPL;SC5D;ZMYM5
37,2,17,"(3, 5)",APCS;CRP;SLAMF9;FMO3;HRG;HUS1B;ENSG00000304009;H2BC14;FGL1;AMBP
37,2,13,"(68, 609)",USP1;CSDE1;ATF2;ZNF654;ITK;TMEM30A;SEC63;AKAP9;UBQLN1;CDK8
37,2,12,"(383, 658)",RCOR3;CPA3;FYTTD1;BMP2K;ZNF184;SBDS;HELB;CEP290;NIPA1;THUMPD1
38,2,12,"(5, 11)",CELA3B;CELA3A;REG1A;CPB1;CLPS;CPA1;PNLIP;PLA2G1B;IGHV7-4-1;GP2
38,2,10,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000249261;ENSG00000285888;POM121L14P;ENSG00000302909;CYP19A1;ABCC11;ENSG00000267780;UMODL1-AS1
38,2,8,"(2, 4)",ENSG00000227193;ENSG00000299361;NMRAL2P;ENSG00000289274;TAS2R40;ENSG00000287713;TBC1D3D;XKR3
38,2,4,"(221, 572)",AKIRIN1;MROH7;FLOT1;LOXL1
38,2,4,"(3, 5)",CRP;FGL1;LINC01300;LIPF
39,2,11,"(5, 11)",CELA3B;CELA3A;REG1A;CLPS;CPA1;SFTPA2;PNLIP;PLA2G1B;GP2;CTRB2
39,2,6,"(0, 2)",ENSG00000236846;ENSG00000301400;ENSG00000249261;ENSG00000285888;ENSG00000302909;ABCC11
39,2,5,"(20, 352)",TMOD4;MYL1;PACSIN3;SLN;EEF1A2
39,2,5,"(2, 4)",ENSG00000298116;ENSG00000307670;ENSG00000289274;ENSG00000287713;TBC1D3D
39,2,5,"(0, 1)",ENSG00000213058;MUC7;ENSG00000287927;ENSG00000296403;ENSG00000303148
40,2,21,"(3, 5)",MMP23B;SLAMF9;FMO3;AHSG;HRG;FGB;HUS1B;ENSG00000304009;H2BC14;PGC
40,2,21,"(5, 11)",UTS2;CELA3B;CELA3A;C8B;REG1A;FABP1;CPB1;CXCL9;CLPS;CPA1
40,2,10,"(1, 3)",HMGCS2;KNG1;GC;ADH4;ADH6;BHMT;CYP2C9;GLYAT;CLEC4C;CTXN2-AS1
40,2,8,"(3, 9)",ANGPTL3;ENSG00000235151;ADH1A;ADH1C;ENSG00000287277;CPB2;LINC00469;TXLNGY
40,2,7,"(3, 11)",EDARADD;ENSG00000285639;ENSG00000261655;KRT81;RAMP2;SULT2A1;ENSG00000297167
41,2,12,"(5, 11)",CELA3B;CELA3A;REG1A;CPB1;CLPS;CPA1;PNLIP;PLA2G1B;GP2;CTRB2
41,2,12,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000249261;ENSG00000285888;POM121L14P;ENSG00000226816;ENSG00000302909;CYP19A1;ENSG00000267780
41,2,9,"(2, 4)",ENSG00000307137;ENSG00000298116;NMRAL2P;ENSG00000251584;LINC02217;ENSG00000306991;TAS2R40;ENSG00000285667;TBC1D3D
41,2,7,"(2, 9)",ENSG00000250575;ENSG00000289463;ENSG00000305497;DNAI7;ENSG00000295095;ENSG00000294759;SAMD15
41,2,7,"(112, 473)",CRYGS;TMEM144;COL23A1;ENSG00000277763;CLEC18A;ENSG00000270091;MOCS3
42,2,7,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000285888;POM121L14P;NR2E1;UMODL1-AS1
42,2,5,"(2, 4)",ENSG00000227193;ENSG00000299361;NMRAL2P;TBC1D3D;XKR3
42,2,5,"(0, 1)",CD34;MUC7;ENSG00000287927;ENSG00000296403;ENSG00000303148
42,2,4,"(146, 625)",NBEAL1;ENSG00000289138;PTPDC1;ILVBL
42,2,3,"(191, 326)",DNAJC16;DYNLT2B;SMAD3
43,2,11,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000249261;NR2E1;ENSG00000226816;CYP19A1;ABCC11;ENSG00000267780;RLN3
43,2,10,"(2, 4)",ENSG00000227193;ENSG00000299361;ENSG00000293809;ENSG00000251584;ENSG00000307670;TAS2R40;CLEC6A;SPATA41;TBC1D3D;XKR3
43,2,9,"(160, 222)",ENSG00000296134;NMRAL2P;ENSG00000289520;ENSG00000270426;ERBIN-DT;CPLX2;ENSG00000289382;GKAP1;ENSG00000273972
43,2,9,"(2, 9)",ENSG00000289463;ENSG00000261211;ANO5;ENSG00000307802;C12orf60;DNAI7;ENSG00000294759;ENSG00000261136;ENSG00000280091
43,2,5,"(160, 381)",LINC01134;ENSG00000306261;IL17RB;ENSG00000275180;ENSG00000274979
44,2,12,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000249261;NR2E1;ENSG00000226816;AOAH;ENSG00000302909;CYP19A1;ENSG00000267780
44,2,10,"(5, 11)",CELA3B;CELA3A;REG1A;CLPS;CPA1;PNLIP;PLA2G1B;GP2;CTRB2;CTRB1
44,2,9,"(2, 4)",ENSG00000227193;ENSG00000298116;ENSG00000299361;NMRAL2P;ENSG00000306991;TAS2R40;LINC02751;ENSG00000283384;TBC1D3D
44,2,5,"(3, 5)",APCS;PGC;A1CF;LIPF;APOH
44,2,5,"(270, 645)",TARBP1;CEP164;NSMCE1-DT;LIG3;RBMX
45,2,11,"(5, 11)",CELA3B;C8B;REG1A;CLPS;SFTPA2;PNLIP;PLA2G1B;GP2;MT1H;CTRB2
45,2,9,"(3, 5)",APCS;CRP;PGC;FGL1;LINC01300;AMBP;MAT1A;LIPF;SAA4
45,2,9,"(0, 2)",ENSG00000236846;MINDY4B;ENSG00000301400;ENSG00000249261;ENSG00000285888;POM121L14P;CYP19A1;ABCC11;ENSG00000267780
45,2,5,"(1, 3)",HMGCS2;BHMT;CYP2C9;GLYAT;CTXN2-AS1
45,2,5,"(2, 4)",ENSG00000227193;ENSG00000307137;NMRAL2P;ENSG00000251584;TBC1D3D
46,2,7,"(0, 2)",MINDY4B;ENSG00000301400;ENSG00000249261;POM121L14P;NR2E1;RLN3;UMODL1-AS1
46,2,6,"(2, 9)",ENSG00000305497;ENSG00000289382;ENSG00000287935;ENSG00000289908;DNAI7;ENSG00000295095
46,2,5,"(0, 1)",ENSG00000213058;ENSG00000304616;ENSG00000296337;ENSG00000287927;ENSG00000296403
46,2,5,"(17, 549)",SPAG16;CORIN;FGFR1;ODF2;IGHV3-15
46,2,5,"(2, 4)",NMRAL2P;ENSG00000307670;SPATA41;TBC1D3D;XKR3
47,2,14,"(3, 5)",APCS;CRP;FMO3;HRG;FGB;FGA;H2BC14;PGC;AMBP;A1CF
47,2,13,"(5, 11)",CELA3B;CELA3A;C8B;REG1A;FABP1;CPB1;FGG;CLPS;PNLIP;GP2
47,2,6,"(1, 3)",HMGCS2;KNG1;GC;ADH6;BHMT;GLYAT
47,2,6,"(570, 680)",RAMP3;ROBO4;TMEM52B;ENSG00000273149;TPSB2;PWP2
47,2,5,"(3, 11)",ENSG00000285639;ENSG00000261655;RAMP2;ENSG00000305678;ENSG00000255438
48,2,4,"(0, 2)",ENSG00000236846;MINDY4B;POM121L14P;HRK
48,2,3,"(50, 361)",SMIM1;ENSG00000293420;SFXN1
48,2,3,"(182, 437)",MFN2;ARAP1-AS2;SIN3A
48,2,3,"(105, 568)",CDC42;IDUA;ME2
48,2,3,"(219, 704)",PTAFR;SEC61A1;SRP14-DT
49,2,18,"(3, 5)",APCS;CRP;SLAMF9;FMO3;AHSG;HRG;FGB;FGA;ENSG00000304009;H2BC14
49,2,17,"(5, 11)",CELA3A;PKLR;REG1A;CPB1;CXCL9;FGG;CLPS;CPA1;SFTPA2;PNLIP
49,2,6,"(1, 3)",KNG1;GC;ADH4;BHMT;CYP2C9;GLYAT
49,2,4,"(283, 382)",ENSG00000284657;TRAPPC12-AS1;ZNF700;TSSK6
49,2,4,"(3, 9)",ANGPTL3;ADH1C;CPB2;TXLNGY
0,3,3,"(0, 121, 629)",SPC25;ANLN;MIS18A
0,3,3,"(0, 362, 727)",TTK;FEN1;ARHGAP11A
1,3,6,"(353, 546, 587)",AGMAT;TCEA3;BPHL;PEBP1;SHF;ATP5PD
1,3,5,"(331, 353, 587)",AKR7A3;NIT2;BDH1;MMAB;MAGIX
1,3,4,"(353, 358, 587)",ADI1;UQCC2;ECHS1;PNPO
1,3,4,"(173, 587, 714)",PTGR1;AKR1C1;HSD17B6;APOC2
1,3,3,"(331, 546, 587)",DNPH1;HINT2;CHCHD10
3,3,8,"(408, 507, 686)",RBMS1;SLMAP;CHMP2B;ZFAND6;TAOK1;DPY19L3;SERINC3;MAPK1
3,3,5,"(22, 431, 634)",RFTN2;HSP90AB1;HSPB1;STIP1;FKBP4
3,3,5,"(22, 417, 634)",HSPA4L;P4HA2;HSPA4;DNAJB6;AHSA1
3,3,4,"(22, 121, 634)",NUDC;MRPL18;ENGASE;SOD1
3,3,4,"(444, 658, 749)",MFSD14A;ANKRA2;ZFYVE16;ENSG00000258424
10,3,44,"(383, 658, 749)",RLF;MFSD14A;ARID4B;LYST;CEP170;ENSG00000259865;PELI1;KDM3A;SP3;SF3B1
10,3,25,"(383, 444, 749)",PUM1;ZMYM6;RABGGTB;PRKD3;SESTD1;SEPTIN2;NPHP3;TIPARP;MPC1;UBE2W
10,3,15,"(444, 658, 749)",GMCL1;WDR48;NKTR;RYK;SEC24B;ZFYVE16;ELOVL5;REV3L;ZBTB43;BTAF1
10,3,15,"(68, 444, 644)",NOP58;ZNF621;PBRM1;NSA2;TCERG1;NUDCD2;IBTK;MTPAP;MRPL42;TMPO
10,3,12,"(444, 644, 725)",OTUD3;GPN1;PCYOX1L;MDN1;GALNT11;FBXO21;VPS36;PCID2;ARHGAP5;BBS4
12,3,3,"(320, 443, 694)",TMEM18;ZKSCAN4;ZNF14
12,3,3,"(443, 499, 569)",MPHOSPH10;POLR2D;ZNF92
12,3,3,"(320, 562, 674)",TSN;SLC25A16;MLYCD
20,3,7,"(87, 307, 682)",CCNL2;PMS1;HELQ;TMEM161B;CUL9;NRBP2;ENSG00000291100
20,3,7,"(120, 325, 682)",CD96;RYK;DMXL1;MYBL1;ENSG00000309149;SLFN11;FAM120C
20,3,6,"(87, 120, 682)",LINC00869;NIT2;SLC4A4;ZMYND11;ATAD1;CAPRIN2
20,3,5,"(79, 120, 162)",CMPK1;UHMK1;NEMP2;SLC25A30;UBE3A
20,3,5,"(79, 87, 682)",IFT172;ERCC3;HMBOX1;HCFC2;SUGP2
21,3,23,"(220, 272, 565)",TNFRSF25;LCK;CD2;THEM4;FCMR;CD8A;PVRIG;TRBC1;TRBC2;LINC00861
21,3,8,"(65, 220, 272)",TXK;CAMK4;PRKCQ-AS1;CD5;BCL11B;APBA2;NLRC3;ZNF831
21,3,6,"(272, 536, 565)",DPP4;CD6;ENO2;KLRG1;TMIGD2;HAUS5
21,3,5,"(220, 456, 565)",MMACHC;SLAMF6;PRKCQ;CD3G;SBK1
21,3,5,"(220, 272, 536)",SIDT1;TRBV29-1;WNT10B;SEPTIN1;PPP1R16B
31,3,28,"(79, 382, 586)",LRRC40;SIKE1;WDR43;SDAD1;C5orf24;FAM135A;GOPC;CBLL1;ENSG00000255310;POMK
31,3,18,"(382, 550, 586)",DNAJC16;PIGM;RRP15;TRMT61B;ZC3H6;ZNF619;ZCCHC4;AASDH;RAD17;LYRM2
31,3,18,"(382, 499, 586)",CYB5RL;LRRC8C-DT;GPATCH11;ZNF892;SMARCAD1;CYP2U1;SMARCA5;ZKSCAN3;CASP8AP2;KRIT1
31,3,12,"(79, 550, 586)",FAM76A;PRPF40A;TRNT1;CLOCK;FER;PTER;MSANTD2;GPR180;DTWD1;ARPP19
31,3,9,"(79, 382, 550)",ZMYM1;METTL14;MTREX;MTERF1;NOL8;ZNF195;ZNF605;GPALPP1;USP16
36,3,3,"(0, 14, 121)",CENPF;SGO1;KIF15
37,3,6,"(507, 658, 749)",TBL1XR1;TRIM52;DEK;PHIP;OTUD6B;WAPL
37,3,4,"(68, 658, 749)",PNRC2;DCUN1D4;RNF138;CHMP2A
37,3,4,"(444, 658, 749)",SH3BGRL3;INSIG2;VPS26A;SC5D
37,3,4,"(383, 444, 644)",LIMA1;MYO9A;ZNF146;PRNP
37,3,3,"(220, 264, 383)",SRRM1;POGLUT3;LMAN1
39,3,7,"(20, 446, 567)",APOBEC2;LRRC20;PYGM;RPL3L;ATP2A1;MYH2;MYBPC2
39,3,4,"(20, 352, 446)",CASQ1;MYL1;TPM1;HSPB6
39,3,4,"(87, 146, 567)",TNNI1;TNNI2;TCAP;TNNT1
39,3,3,"(20, 352, 567)",TMOD4;LDB3;MYL11
1,5,4,"(331, 353, 358, 546, 587)",ADI1;BDH1;ECI2;PEBP1
1,5,3,"(70, 331, 353, 546, 587)",AGMAT;BPHL;FUOM
3,5,3,"(22, 62, 116, 431, 634)",ZC3HAV1;FKBP4;ENSG00000289070
10,5,21,"(383, 444, 507, 658, 749)",MYSM1;ZRANB2;XRN1;SEC24B;ZFYVE16;PHF3;OTUD6B;UBR5;VPS26A;EMSY
10,5,7,"(12, 383, 507, 658, 749)",PRPF38B;ARID4B;UBXN4;CLK1;CHD1;CREBRF;YAF2
10,5,5,"(383, 444, 609, 658, 749)",NKTR;DMTF1;TAF2;BTAF1;HMGXB4
10,5,4,"(68, 264, 383, 658, 749)",HP1BP3;WWP1;CREBZF;ADNP2
10,5,4,"(68, 383, 444, 644, 749)",ANKRD13C;STX2;PRNP;ALG13
20,5,3,"(87, 120, 307, 586, 682)",CCNL2;MCPH1;URI1
20,5,3,"(87, 162, 325, 630, 682)",CHROMR;ANKIB1;ZDHHC21
21,5,10,"(65, 220, 272, 536, 565)",LCK;CD2;CD8A;AGFG2;EEIG1;KLRK1;TRAC;APBA2;TMIGD2;NFATC2
21,5,4,"(65, 220, 272, 456, 565)",CD5;CD3G;NLRC3;SBK1
21,5,3,"(220, 272, 312, 536, 565)",TRBC1;ENSG00000284691;WNT10B
21,5,3,"(220, 272, 536, 555, 565)",TRBC2;CARMIL2;SKAP1
31,5,5,"(79, 382, 499, 550, 586)",RRP15;MTREX;NAPEPLD;CMTR2;ZNF180
31,5,5,"(79, 382, 499, 586, 661)",FAM135A;KRIT1;POMK;PUS7L;ZSCAN29
31,5,4,"(79, 382, 499, 586, 605)",SMAD5;SOCS7;ZNF136;AMER1
31,5,3,"(79, 382, 499, 586, 655)",SDAD1;SMARCA5;ICE1
39,5,3,"(20, 352, 446, 567, 667)",MYOZ1;PYGM;MYBPC2
42,5,3,"(267, 303, 379, 597, 711)",SFTPC;SFTPA2;SFTPA1
10,7,3,"(12, 328, 383, 444, 507)",MYSM1;GLS;FAM91A1
10,7,3,"(12, 68, 383, 444, 609)",EBLN3P;BTAF1;BRWD1
10,7,3,"(68, 264, 383, 444, 507)",PRPF39;RAB12;EIF1AX
16,7,3,"(20, 135, 152, 462, 585)",NRAP;RPL3L;SCN4A
21,7,3,"(65, 220, 272, 536, 555)",TNFRSF25;LCK;CD3E
39,7,4,"(4, 20, 87, 146, 182)",TNNI1;LDB3;TNNT3;TCAP
39,7,3,"(4, 20, 87, 146, 182)",FABP3;TNNC1;ENO3
1,10,4,"(24, 70, 173, 231, 331)",HGD;CDO1;PHYH;GLYATL1
1,10,3,"(70, 121, 173, 231, 331)",ADI1;PCBD1;MMAB
1,10,3,"(24, 173, 231, 258, 331)",BDH1;APOC3;RBP5
1,10,3,"(70, 173, 231, 258, 331)",ECHS1;CYB5A;APOC1
39,10,3,"(4, 20, 87, 146, 152)",CASQ1;TNNI1;LDB3
