holdout,K,set_size,tuple_first5,genes_first10
13,1,67,"(5,)",CELA3B;CELA3A;DNAJC8;PLK3;SCP2;C8B;STXBP3;PKLR;ZNF670;REG1B
13,1,66,"(192,)",ENSG00000290854;RPL5P4;ENSG00000230615;STRIP1;ENSG00000290569;CRNN;SPRR3;EFNA1;RPS27P8;ACTA1
13,1,65,"(405,)",AKR7A3;PHC2;ENSG00000266993;GSTM5;CHI3L2;HORMAD1;NOS1AP;PRORSD1P;IL1R2;KLF7-IT1
13,1,63,"(351,)",WNT4;LUZP1;LDLRAP1;ZCCHC17;ZMYM4;KCNA2;CCT3;IRF6;AIDA;H2BC26
14,1,78,"(648,)",EXO5;NMNAT2;ENSG00000259865;CNRIP1;IGKJ3;SUMO1;PLXNB1;ENSG00000280003;PAQR9;CPB1
14,1,73,"(433,)",MTCO3P12;TMEM240;GNAT2;ENSG00000232450;FMO5;HDGF;ENSG00000288670;LHX4;CHI3L1;NLRP3
14,1,64,"(654,)",PGD;ENSG00000305448;LINC00853;SGIP1;GADD45A;MAB21L3;LINC02803;SYT2;ENSG00000298780;CRIPT
14,1,63,"(557,)",SSU72;WNT2B;ASH1L-AS1;ANKRD36BP2;FN1;ENSG00000286035;NPR3;FBXO38-DT;MED7;ZFP62
14,1,59,"(163,)",MTND1P23;CROCCP3;TMEM54;KDM4A;SLC6A9;STIL;OR10Z1;SPTA1;IGKV5-2;IGKV1D-8
15,1,79,"(582,)",MST1P2;ENSG00000233478;CDCA8;ENSG00000235105;MROH7;OR10Z1;ENSG00000271680;ENSG00000272054;IGKV1D-39;IGKV1D-13
15,1,69,"(479,)",MRPL20-AS1;ATAD3C;ENSG00000293791;AKR7A3;RABGAP1L;PPP1R15B;ENSG00000286360;ASTL;FAM178B;SNORC
15,1,61,"(593,)",NADK;YTHDF2;CD1D;ENSG00000309281;IGKV3-20;NDUFS1;ATG16L1;CCR4;APPL1;KALRN
15,1,61,"(407,)",SNORA73B;ENSG00000269967;MANEAL;TMEM53;ACOT11;PCSK9;ITGB3BP;ATXN7L2;TOR1AIP1;COLGALT2
15,1,60,"(555,)",ENSG00000272078;BMP8A;USP24;C1orf52;VANGL1;TXNIP;IL6R;ENSG00000231563;GALNT2;GGPS1
16,1,70,"(286,)",SRSF11;LRRC8C-DT;SETDB1;TPR;KCTD3;CNIH4;ITPKB;CEP170;B3GNT2;ST3GAL5
16,1,68,"(433,)",SPEN;MRTO4;HPCAL4;CCDC18-AS1;NOTCH2NLB;POGZ;ASH1L;ENSG00000310471;RCOR3;PPM1G
16,1,66,"(71,)",LRRC47;USP33;WDR47;TRIM33;METTL25B;YOD1;CHMP3;REV1;FIGN;WIPF1
16,1,58,"(630,)",ACAP3;TARDBP;FRRS1;IRF6;SDE2;PREPL;ENSG00000290085;INPP4A;KLHL41;ITM2C
16,1,58,"(99,)",ENSG00000269925;ADAMTSL4;HORMAD1;ENSG00000283696;SERPINC1;DHX9;IARS2;DISC1;LYST;ENSG00000299074
17,1,85,"(470,)",TMEM240;ENSG00000293187;PER3;TMEM54;ENSG00000290999;SV2A;RAB7B;ENSG00000272750;ZNF678;ENSG00000290085
17,1,79,"(3,)",MMP23B;FBXO42;ADGRB2;ENSG00000269967;ANGPTL3;IL12RB2;CRP;SLAMF9;FMO3;ENSG00000298662
17,1,71,"(311,)",CROCCP3;WNT4;FCN3;ENSG00000290041;DDAH1;NBPF15;SEMA6C;ENSG00000285280;RPS27P8;SDE2
17,1,69,"(339,)",NBPF9;ADAMTSL4;FCER1G;EIPR1;RPS12P3;DOK1;GCC2-AS1;HECW2-AS1;ZDBF2;THRB
17,1,56,"(747,)",KTI12;PRPF3;COPA;ZNF496;POMC;SNORD89;ENSG00000234389;STK39;HNRNPA3;INPP5D
18,1,150,"(607,)",EXO5;BEST4;LINC01359;SERBP1;GNG12-AS1;WNT2B;ADAMTSL4-AS2;ENSG00000270361;PIGM;CFAP126
18,1,105,"(413,)",ENSG00000240731;ENSG00000238260;ST7L;NBPF20;TMOD4;ENSG00000289062;ENSG00000298116;RPL13AP8;CD34;ENSG00000236846
18,1,77,"(641,)",C1QTNF12;ENSG00000285646;ZNF436;PLPP3;RPL7P9;RBM15-AS1;ENSG00000296642;ITGA10;HJV;KCNN3
18,1,73,"(540,)",VWA1;ACADM;RORC;CD1A;FMO3;ENSG00000213058;TATDN3;SUSD4;EDARADD;ENSG00000269973
18,1,49,"(110,)",PIK3CD-AS1;MCOLN2;SLC39A1;ENSG00000230979;IGFBP2;IMPG2;ISY1;SOD3;ADAMTS3;ENSG00000289443
19,1,98,"(126,)",PAFAH2;CIMAP2;USP24;DYNLT5;DPYD;ATP1A1-AS1;ANP32E;LYSMD1;SLC19A2;ENSG00000234132
19,1,90,"(423,)",ENSG00000285646;MECR;FOXJ3;ARHGAP29;PEX11B;TMOD4;MIR9-1HG;TIPRL;SYT2;LCLAT1
19,1,82,"(3,)",ENSG00000233478;ENSG00000269967;GLMP;SLAMF9;ENSG00000283696;FMO3;RAB7B;RNF144A;ENSG00000300661;ENSG00000230747
19,1,78,"(608,)",HSPG2;MTF1;LINC02918;SSBP3-AS1;ENSG00000290999;TTC24;SOX13;ZNF670;ENSG00000298780;APOB
19,1,74,"(142,)",FGR;LSM10;SMAP2;RAD54L;TYW3;ST6GALNAC3;ZNF644;LAX1;UTP25;CMPK2
20,1,196,"(682,)",ENSG00000241860;KLHL17;SCNN1D;ENSG00000284735;ENSG00000272078;ZBTB40;PUM1;P3H1;DMAP1;EPS15
