n_train,holdout,set_size,genes_first10
100,44,7,QRICH1;HTT;ARID1B;POLG;MPRIP;MLLT6;NFATC2
100,45,3,HTT;ENSG00000290600;SYNE2
100,45,3,NR3C2;RASGRF2;ATXN7L1
100,45,3,TRRAP;HERC1;ARMCX4
100,46,3,FCRL3;NFX1;PHRF1
100,49,3,C6orf62;APPBP2;ZNF776
100,49,3,ZNF626;ZNF585B;ZNF432
200,0,20,ASPM;KIF15;POLQ;CENPE;NEIL3;TCF19;ANLN;NCAPG2;SMC2;CEP55
200,0,10,NCAPH;BUB1;KIFC1;KIF18A;FOXM1;RACGAP1;ARHGAP11A;REXO5;SHCBP1;GTSE1
200,0,7,STIL;KIF14;DEPDC1B;KIF24;KIF11;SKA3;TOP2A
200,1,38,AGMAT;C8B;APCS;APOA2;SERPINC1;FABP1;RAB17;AGXT;ITIH1;KNG1
200,1,10,HMGCS2;FMO3;ADH1B;BHMT2;ALDH7A1;RBP4;SAA4;PEBP1;TAT;PCK1
200,1,5,ADI1;ECHS1;HSD17B6;DCXR;APOC2
200,3,5,PKN2;TBL1XR1;TWF1;WASHC4;ARID4A
200,3,5,MED23;BTBD7;KLF13;RBL2;CRLF3
200,3,4,TOR1AIP1;SEL1L;WDR20;ZNF587
200,5,5,WDR53;RMND5B;CIAPIN1;ELP5;PMM1
200,5,3,ORMDL1;BTBD7;KLF13
200,5,3,SEC13;EMC4;SCO1
200,6,4,APOA2;FABP1;HRG;MT1G
200,9,6,SERPINC1;HRG;BAAT;CYP2C8;SLC10A1;APOH
200,9,5,PTPRC;ZBTB18;CMTM6;BTBD10;RLIM
200,9,3,RC3H1;HAPSTR1;NPEPPS
200,10,29,PRKACB;RNF115;DCAF1;GPRIN3;JMY;ARL10;HNRNPH1;MDN1;KPNA5;HSF2
200,10,18,MGAT4A;ATF2;CARF;ZNF654;UBA6;CNOT6L;TMEM181;HAUS6;BMI1;BTAF1
200,10,17,MTF2;MTR;MSH2;PBRM1;ICE1;MATR3;ATG5;NUS1;AKAP9;AK3
200,12,3,GBP4;STAT1;APOL1
200,12,3,SMARCAD1;PRP4K;GEMIN8
200,12,3,CTSO;CUL1;METTL15
200,16,6,DES;SYNPO;TPM2;LDB3;SLN;CKM
200,16,5,ACTN2;NEB;MYOZ1;MYBPC1;MAPT
200,16,4,ATP1A2;TRDN;NRAP;RYR1
200,17,3,ENSG00000287632;DLGAP4;XK
200,19,3,AKT3;UBA5;DDX55
200,20,21,CMPK1;DIPK1A;SLC35A3;MAN1A2;ANGEL2;ERO1B;CHROMR;NEMP2;DCAF16;ANKIB1
200,20,17,SRSF11;DCAF8;TRAF5;TARBP1;CEP120;ZNF354B;CUL9;RINT1;PAXIP1-AS2;VPS13A
200,20,17,ARIH2;EIF4A2;HAUS3;ARAP2;CPLANE1;ZNF131;BDP1;TMEM161B;ZNF184;DMTF1
200,21,13,PRKACB;ABI2;FAM169A;JMY;ARL10;HSF2;WWP1;INPP5F;ETS1;ZBTB25
200,21,6,TRIB2;OXNAD1;PARP15;MLLT3;BCL11B;PLCG1
200,21,5,IGKC;IGKV1-5;IGKV3-20;ENSG00000300403;IGLV2-23
200,23,3,HDAC1;SUMO2;MCTS1
200,23,3,UQCRC1;RRP36;BORCS6
200,23,3,COX19;ATG101;PANK2-AS1
200,27,3,SPARC;TREML1;ITGB3
200,30,3,PTGER4;FAM13B;ZNF891
200,30,3,RNF19A;ANKRD26;ENSG00000291214
200,31,20,TRIM33;MAN1A2;ANGEL2;CLASP2;LYRM7;PURA;LSM11;BMI1;USP47;MAPKAPK5
200,31,18,ARL5A;SENP7;DHX15;SREK1;RBM27;LATS1;ZNF736;ACBD5;TRUB1;THAP12
200,31,14,DBT;RO60;ZBTB41;LANCL1;IFT80;ZMAT3;FER;SMAD5;MDFIC;ZHX1
200,34,6,DES;MYOZ1;SRL;TCAP;CKM;EEF1A2
200,34,3,ATP2A1;MYH1;TNNC2
200,35,5,APOA2;ADH4;CYP2C8;GLYATL1;SLC10A1
200,35,3,APOB;A1CF;IGF2
200,36,16,CDCA8;KIF2C;ASPM;LIN9;KIF15;POLQ;PLK4;ANLN;NCAPG2;RACGAP1
