gene,mean_train,min_train,max_train,obs_range,union_width,clipped_union_width,cov_observed,cov_zero_to_max,band_to_mean,n_intervals,frac_holdouts_outside
ENSG00000269463,22.089540968591393,0.0,186.25729882730417,186.25729882730417,248.43986396239822,186.25729882730417,1.0,1.3338530383861578,1.018785892069027,1,0.0
WDR74,417.4007738402589,79.1555285961909,1325.4557701757467,1246.3002415795559,1660.7294000466652,1246.3002415795559,1.0,1.252949692788665,0.5932389600087373,1,0.0
SNHG1,1254.0430167857405,127.24025781197673,7318.506590548945,7191.266332736968,9286.276860385839,7191.266332736968,1.0,1.268875930559119,0.5712781572777914,1,0.040000000000000036
SLC3A2,7607.895691577028,919.8186657060489,40494.874496707445,39575.055831001395,51185.78291513939,39575.055831001395,1.0,1.2640064588742261,0.5618746107946351,1,0.0
PLAAT5,27.123283582761843,0.0,525.6156845656874,525.6156845656874,680.5222688419507,525.6156845656874,1.0,1.294714539206077,0.9505256855121521,1,0.0
LGALS12,578.1976942892505,21.04281295795351,7208.368479253533,7187.32566629558,9223.957083511039,7186.933216256531,0.9999453969310323,1.279617864993804,0.58418507010447,2,0.0
PLAAT4,1859.6494166781424,64.22658727612473,10266.205552229914,10201.978964953789,13110.119019744976,10201.978964953789,1.0,1.2770170003947892,0.5676299606480391,1,0.0
PLAAT3,327.9645489026899,17.349179650004718,4462.390980315702,4445.041800665697,5716.681268533999,4445.041800665697,1.0,1.2810803207856878,0.6019848508869704,1,0.0
ATL3,1491.1878554445518,238.25577286830358,4105.219448528811,3866.9636756605073,5104.12707853358,3866.9636756605073,1.0,1.243326244194509,0.5694995181018098,1,0.0
RTN3,22295.72055468211,3243.1150859125073,55440.03373068537,52196.918644772864,68650.64275195544,52196.918644772864,1.0,1.2382864535300266,0.5606403718108317,1,0.0
ZFTA,90.65367536660554,9.787291471319271,607.2108995742223,597.423608102903,787.3347013847147,597.423608102903,1.0,1.2966412525479956,0.7000684807172964,1,0.0
SPINDOC,319.3119657511521,20.318832118218264,1821.968037091558,1801.6492049733397,2329.969300092443,1801.6492049733397,1.0,1.2788200740402762,0.6030818659166084,1,0.020000000000000018
MARK2,6347.700794713612,798.3400455558683,13631.661225520758,12833.32117996489,16894.037569444325,12833.32117996489,1.0,1.2393234610185184,0.5622460295069293,1,0.0
NAA40,565.7619860083374,28.174004103341147,3448.3909734846316,3420.2169693812903,4409.009728530381,3420.2169693812903,1.0,1.2785701396483575,0.5847054332846016,1,0.0
COX8A,3831.819732105744,826.3064546447446,9305.639497501052,8479.333042856308,11333.403560928515,8479.333042856308,1.0,1.2179070083224266,0.563715851980818,1,0.0
OTUB1,4354.005586727723,1180.5481693489044,9867.841817279676,8687.293647930772,11802.383866935432,8687.293647930772,1.0,1.196045101398784,0.5632714950133998,1,0.0
MACROD1,98.1993158019598,5.112639689434722,1930.337736138543,1925.2250964491084,2478.579901855542,1925.2250964491084,1.0,1.2840135979591352,0.6903143671174773,1,0.0
ENSG00000288852,95.82951707654603,1.7358537101655331,919.7445459585216,918.008692248356,1183.1094907397392,918.008692248356,1.0,1.2863457532186275,0.693226637193621,1,0.0
STIP1,4535.1291085848925,603.7595829413426,72117.53277650102,71513.77319355967,91895.00915313234,71513.77319355967,1.0,1.2742395034217764,0.5631412027399438,1,0.020000000000000018
FERMT3,20258.21511662991,3080.280855657486,56382.21748513005,53301.93662947256,69974.62501491143,53301.93662947256,1.0,1.2410761430829884,0.5607047378484702,1,0.0
TRPT1,402.7776571646699,114.00138705697337,1462.219088926893,1348.2177018699197,1799.729334816649,1348.2177018699197,1.0,1.2308205715857883,0.5944107585050591,1,0.0
NUDT22,951.6267726053419,188.58212003329572,2329.6202308076195,2141.0381107743237,2869.0136688227017,2141.0381107743237,1.0,1.231537068094609,0.5748158959829367,1,0.0
ENSG00000256116,55.47486517363423,0.0,192.14548209894704,192.14548209894704,249.62246616961966,192.14548209894704,1.0,1.2991326334754743,0.7758987739210608,1,0.0
DNAJC4,2913.462544156417,1071.8896660272167,7744.6739373096725,6672.784271282456,9159.811873216862,6672.784271282456,1.0,1.182724017481203,0.5648820649296867,1,0.0
VEGFB,861.9870995399,82.73349939548706,3720.8434234792744,3638.1099240837875,4716.897932104741,3638.1099240837875,1.0,1.2676958945222367,0.5763347661812019,1,0.0
ENSG00000286264,26.86072776250105,0.9846278935627567,101.99547734604936,101.0108494524866,136.49891108999986,101.0108494524866,1.0,1.338283957698316,0.953553968664109,1,0.0
PPP1R14B,501.4853227569166,38.9033253839306,2777.877294908088,2738.9739695241574,3537.156832669584,2738.9739695241574,1.0,1.2733308411977997,0.5877969214777069,1,0.0
PLCB3,771.3799077567152,122.12567269126596,4208.737659209867,4086.611986518601,5318.154224679851,4086.611986518601,1.0,1.2635984124698951,0.5782231828644017,1,0.0
BAD,466.8824529697864,109.93262960717107,1448.276611610069,1338.343982002898,1784.6298465298644,1338.343982002898,1.0,1.2322437801062511,0.5898049405739858,1,0.0
GPR137,972.5154657124897,316.6221143847636,2597.1947942093484,2280.5726798245846,3116.380620446989,2280.5726798245846,1.0,1.1999025361498514,0.5745016801712552,1,0.0
ESRRA,1644.5604723591507,223.37960396220478,4253.98956174989,4030.609957787685,5302.146142310044,4030.609957787685,1.0,1.2463937829055207,0.5686202979780148,1,0.0
TRMT112,1701.697080158278,339.61476540450525,4674.720730784231,4335.105965379726,5754.904949095596,4335.105965379726,1.0,1.2310692510887498,0.5683329820417765,1,0.0
PRDX5,6953.955466035766,1260.9723333230215,25100.560620570992,23839.58828724797,31236.421131110812,23839.58828724797,1.0,1.2444511341117703,0.5620505749371324,1,0.0
ENSG00000236935,89.00018584037477,13.877889713356247,319.62470641954144,305.7468167061852,410.05554529960574,305.7468167061852,1.0,1.2829281875393082,0.702406510157727,1,0.0
CCDC88B,19428.09362584704,3136.8205189404794,55112.691644956045,51975.87112601557,68311.43113074027,51975.87112601557,1.0,1.239486388558418,0.5607348300802675,1,0.0
RPS6KA4,1734.9702890727608,158.98188029742502,6073.456347649562,5914.474467352137,7681.026041517181,5914.474467352137,1.0,1.2646877826807383,0.5681743217886831,1,0.0
LINC02723,47.45904056567722,0.0,255.55575485270958,255.55575485270958,332.26331949987633,255.55575485270958,1.0,1.3001598014937188,0.8066801201212307,1,0.0
LINC02724,38.18878909901774,0.0,300.4538058086599,300.4538058086599,392.0012635856189,300.4538058086599,1.0,1.3046972812694535,0.8559036901436353,1,0.0
NRXN2,36.95838324158729,0.0,296.1737996368012,296.1737996368012,384.84605648223413,296.1737996368012,1.0,1.2993926436240206,0.864013524369339,1,0.0
RASGRP2,13788.226775408095,2484.133896379581,28374.375969505592,25890.24207312601,34557.16558833905,25890.24207312601,1.0,1.2179004615107025,0.5610351239211713,1,0.0
PYGM,1016.7125096739313,49.75490368903428,51019.03392933913,50969.279025650096,65287.7902886411,50969.279025650096,1.0,1.2796751576884828,0.5738789030044433,1,0.0
SF1,17341.29124008153,2605.3476840803405,44032.53608042149,41427.188396341146,54509.65260833768,41427.188396341146,1.0,1.2379403382258218,0.560823192569374,1,0.0
MAP4K2,3343.5752983715615,524.6880752661797,9458.744424600103,8934.056349333923,11751.024864668929,8934.056349333923,1.0,1.2423451080998775,0.5642564104619501,1,0.0
MEN1,1080.482804448573,191.18074212981492,4693.424073496881,4502.243331367066,5889.016192228493,4502.243331367066,1.0,1.2547377138756663,0.573069101367565,1,0.0
