gene,train_mean_count,train_obs_sd,predicted_sd_tech,obs_sd_over_tech_sd,n_merged_intervals,total_band_width,frac_holdouts_outside
RNF121,312.69064162473353,114.1595898172308,47.213231343285635,2.417957563361438,1,881.3082748088162,0.0
IL18BP,950.2467145330926,767.1203392604048,136.55927488369093,5.61748984031857,1,5492.906733121625,0.0
NUMA1,4856.15178502295,2364.6469939449203,683.4233467661037,3.460003239769627,1,17464.454880530986,0.0
ENSG00000251143,29.785771716100186,18.728677920723992,6.868386911923601,2.726794247454346,1,265.1980056715817,0.0
LRRC51,108.17301011913247,67.72026765136285,18.371729707257224,3.6861127792780395,1,674.9696990893459,0.0
LAMTOR1,6117.937940009753,3171.114669872761,860.0753250972273,3.6870197032036494,1,22149.72543670733,0.0
ANAPC15,995.9004733925011,538.1550100296695,142.95288884908655,3.7645619781618582,1,4560.364640425969,0.0
FOLR3,7587.736336143082,14573.789790373716,1065.848532104789,13.673415453876979,1,171089.50743895952,0.0
FOLR2,263.4254546121935,549.6065054007804,40.29302258840796,13.640240172969765,2,13172.838614827155,0.0
INPPL1,7618.513422656659,2093.936865002255,1070.1573483082618,1.956662605094864,1,22164.146360189676,0.0
CLPB,594.1253679769619,239.02925152258382,86.67543160724766,2.757750923072376,1,3703.0442675095924,0.0
PDE2A,171.65093521604544,173.93957206867313,27.370535051450656,6.354993489959351,2,3596.317687491763,0.0
PDE2A-AS2,55.73754058067089,44.55332478193202,10.799460162819104,4.125514063686473,1,351.7786704899185,0.0
ARAP1,19303.157709432628,6108.1293447566095,2706.011151084176,2.257244705850291,1,51208.062918959804,0.0
ENSG00000286555,611.9553159058217,311.1204907542412,89.17368314557578,3.4889272235883526,1,2761.203395980157,0.0
ARAP1-AS2,197.12429013657515,203.47801811222536,30.963540028052496,6.571536004212612,1,2115.6006035131445,0.0
STARD10,1113.0315745997186,791.8267127556529,159.35583322017408,4.968922045430399,1,9692.807332133638,0.0
ENSG00000285693,380.8654043779558,352.846556194509,56.78037642457858,6.214234184642917,1,3238.409244539837,0.0
ENSG00000293817,31.71501516201179,39.64431848474374,7.171437932650181,5.528085002904476,1,492.11706772228047,0.0
ATG16L2,27150.022393772386,11526.316396907217,3804.57288741426,3.0295953679943723,1,82780.31159002091,0.0
FCHSD2,1569.9396277842027,611.2704141717858,223.33442222723605,2.737018360518723,1,5158.7012584282775,0.0
ENSG00000215841,21.439521978570358,23.34210110230039,5.518036135337875,4.230146474180552,1,219.20642117885524,0.0
P2RY2,551.3163845990865,475.29358883982854,80.67671039882751,5.8913357583644865,1,6164.250023150036,0.0
P2RY6,62.15193347710937,69.14024564521543,11.741552071255006,5.888509902747918,1,870.5463511977996,0.0
ARHGEF17,171.586727318087,119.927111936062,27.36146971849329,4.383065426306566,1,1229.282034622323,0.0
RELT,5355.367387989962,2419.423496581851,753.3143969490959,3.2117048424674404,1,25179.572545981762,0.0
ACTN3,84.97755406613823,649.73981948972,15.050341328002558,43.17110192582933,1,15130.539513837779,0.0
ZDHHC24,751.0518154227957,318.5335198650655,108.66000585606642,2.9314697469002757,1,2842.4147208391155,0.0
BBS1,215.81964126963769,94.10860416929582,33.596885947980915,2.8011109218576697,1,806.7096683933028,0.0
PPP2R5B,2361.8718468137154,1171.5273369046824,334.2144054554349,3.5053167002428838,1,13622.603360167683,0.0
LINC02723,47.45904056567722,44.81816838613449,9.571066136089716,4.682672520372434,1,332.26331949987633,0.0
LINC02724,38.18878909901774,38.660958340090325,8.17148137799158,4.731205585833762,1,392.0012635856189,0.0
NRXN2,36.95838324158729,39.92593545473597,7.983135739889137,5.001284802817398,1,384.84605648223413,0.0
RASGRP2,13788.226775408095,4763.716646701755,1933.919879398573,2.4632440554792874,1,34557.16558833905,0.0
PYGM,1016.7125096739313,2943.1892266706122,145.86746493064254,20.17714661778792,1,65287.7902886411,0.0
SF1,17341.29124008153,7028.759981320556,2431.3495791344603,2.890888271123371,1,54509.65260833768,0.0
MAP4K2,3343.5752983715615,1561.4353521047037,471.65844899209526,3.310521322031639,1,11751.024864668929,0.0
MEN1,1080.482804448573,610.2611263540849,154.79782744711252,3.942310666876664,1,5889.016192228493,0.0
CDC42BPG,183.46649248135301,129.98880983310067,29.037933607682834,4.476517220175348,2,2000.8086706256856,0.0
EHD1,16033.140518921728,5917.995170381924,2248.208264496179,2.632316259947626,1,67368.64479583177,0.0
ENSG00000293953,132.52611202858907,76.44406278974529,21.834931904384458,3.5009984516780337,1,919.9550329508088,0.0
ENSG00000308350,41.72800204229314,56.02716502842708,8.709536995119139,6.43285229281705,1,578.8111731048572,0.0
ATG2A,8744.400495859,8343.993553380533,1227.7823036363775,6.795987797403298,1,70295.90746694517,0.0
BATF2,234.83247059923698,425.72514881389066,36.27257558893455,11.736832631862072,1,5930.04078291752,0.0
CAPN1-AS1,160.15178450988378,113.87465441557212,25.746149780330434,4.422978013690038,1,1065.3094461918565,0.0
ARL2,640.0086407971459,349.3920743568772,93.10416436754774,3.752700824182047,2,5641.543092945516,0.0
SNX15,753.1521056921699,225.90975415673762,108.95420484836619,2.0734376839438267,1,2703.8981556017293,0.0
SAC3D1,136.25834184645137,94.1287411688749,22.364224154042137,4.208898127676026,1,1327.649648282184,0.0
NAALADL1,276.6437756772832,154.94620059169415,42.15052356316052,3.6760207820316815,1,1176.3268111682555,0.0
CDCA5,253.06633738139612,327.3931625629835,38.8368475966811,8.429962337905142,1,4729.502217796209,0.0
ZFPL1,881.1063600651169,285.2078799450829,126.87606294297687,2.247925048503961,1,2324.614152442096,0.0
VPS51,3277.0635302453215,1400.9542160828091,462.3465291348237,3.0300956702419204,1,10837.744679202464,0.0
TM7SF2,263.37619948938396,191.68058207139634,40.286099831776106,4.75798309768885,2,4078.3061559660514,0.0
ZNHIT2,150.97402643097308,87.83557718295619,24.44831071677273,3.5927053693201265,2,1407.5141145730968,0.0
FAU,12124.86719852833,4828.340279063997,1701.0490871825878,2.8384485288787733,1,41182.3243984902,0.0
SYVN1,1872.9043383396152,776.6115041407716,265.75403907662087,2.922294264422686,1,6549.002368985254,0.0
MRPL49,931.9244677984841,337.2914969164764,133.99326645751884,2.5172272147228467,1,2923.7028631917196,0.0
SPDYC,26.853740165041128,41.74862705334588,6.402168229415045,6.521013749924591,1,646.8918634548206,0.0
RPS6KA4,1734.9702890727608,955.1923515485056,246.44139182935783,3.8759412307243606,1,7681.026041517181,0.0
CCDC88B,19428.09362584704,7767.86814771685,2723.502194518217,2.8521615159157134,1,68311.43113074027,0.0
ENSG00000236935,89.00018584037477,49.56338228820919,15.6285774848817,3.1713303617142583,1,410.05554529960574,0.0
PRDX5,6953.955466035766,2789.8037794039715,977.1186669431543,2.8551330291659176,1,31236.421131110812,0.0
SLC3A2,7607.895691577028,6500.54190597092,1068.6708576677559,6.082828832965055,1,51185.78291513939,0.0
PLAAT5,27.123283582761843,41.8390439655414,6.445344430211301,6.49135890541846,1,680.5222688419507,0.0
LGALS12,578.1976942892505,539.4849769628745,84.44361514315219,6.388700626427682,2,9223.957083511039,0.0
PLAAT4,1859.6494166781424,1623.176694602058,263.8981813020407,6.150768779813133,1,13110.119019744976,0.0
PLAAT3,327.9645489026899,322.2847465493652,49.357422516849574,6.529610545188903,1,5716.681268533999,0.0
ATL3,1491.1878554445518,717.3922942394813,212.30769126873585,3.3790216923013734,1,5104.12707853358,0.0
RTN3,22295.72055468211,12129.022254532254,3124.9702653918453,3.881324052538265,1,68650.64275195544,0.0
ZFTA,90.65367536660554,62.50551911411536,15.865945196334636,3.9396026105369026,1,787.3347013847147,0.0
MARK2,6347.700794713612,2355.309799629653,892.2423920814269,2.639764508538062,1,16894.037569444325,0.0
NAA40,565.7619860083374,376.7241352644167,82.70102679124041,4.555253421645774,1,4409.009728530381,0.0
COX8A,3831.819732105744,1323.5101178639445,540.0143812302248,2.450879391116977,1,11333.403560928515,0.0
OTUB1,4354.005586727723,1316.537759276021,613.121809033205,2.1472694982942957,1,11802.383866935432,0.0
MACROD1,98.1993158019598,161.85648051284645,16.94709963479979,9.550689144500247,1,2478.579901855542,0.0
ENSG00000288852,95.82951707654603,92.50436446406158,16.60789346671567,5.569903531080091,1,1183.1094907397392,0.0
FERMT3,20258.21511662991,6492.493531747746,2839.719299061973,2.2863152473881385,1,69974.62501491143,0.0
TRPT1,402.7776571646699,169.7626213968423,59.85384317603552,2.83628606600173,1,1799.729334816649,0.0
NUDT22,951.6267726053419,350.8260427974741,136.75254898412248,2.5654077046725203,1,2869.0136688227017,0.0
ENSG00000256116,55.47486517363423,24.39612336515039,10.760719967914739,2.2671460123386136,1,249.62246616961966,0.0
DNAJC4,2913.462544156417,952.7360080935846,411.4406845095939,2.3156096223910714,1,9159.811873216862,0.0
VEGFB,861.9870995399,587.9586495117857,124.19828336613517,4.734032013779853,1,4716.897932104741,0.0
ENSG00000286264,26.86072776250105,18.88010580183907,6.403288389784772,2.9485015592861137,1,136.49891108999986,0.0
PPP1R14B,501.4853227569166,274.5429065982613,73.69288222069245,3.7255010026079773,1,3537.156832669584,0.0
PLCB3,771.3799077567152,441.6318398778185,111.5074363651841,3.960559531038675,1,5318.154224679851,0.0
BAD,466.8824529697864,174.21246652242996,68.8423943572204,2.5305985962435953,1,1784.6298465298644,0.0
GPR137,972.5154657124897,338.15277344624377,139.67794226108902,2.420946127729755,1,3116.380620446989,0.0
ESRRA,1644.5604723591507,641.2741549107468,233.78261645893127,2.7430360932049873,1,5302.146142310044,0.0
TRMT112,1701.697080158278,574.8401865202462,241.7826440245345,2.3775080665505306,1,5754.904949095596,0.0
ENSG00000293278,30.405258938871558,22.218138786369142,6.965993285469934,3.1895148151682835,1,211.0047653684956,0.0
CAPN1,7578.532427302696,2804.501553712296,1064.5599776246531,2.6344232477816467,1,28259.312649160012,0.0
DPP3,1025.211153072198,512.6315925203817,147.05762869498224,3.4859231518253986,1,5673.562111383519,0.0
ENSG00000255038,30.86561649759931,17.003705272611978,7.0383426756890755,2.4158677768480863,1,179.77471575715276,0.0
MUS81,1534.994337698298,485.5167069165694,218.44144209904107,2.222640091784583,1,4596.973519491159,0.0
EFEMP2,560.470822003052,314.1144099143941,81.95956717438105,3.8325533033388215,1,3412.666042119234,0.0
CTSW,8827.133739284936,10099.16089629745,1239.365006260563,8.14865745384311,1,85111.21002734144,0.0
FIBP,1670.7833253489464,660.2675826667203,237.45423761753545,2.7806098105109625,1,5887.343521678112,0.0
ENSG00000305207,19.60324236511144,32.257765265658435,5.209152497779972,6.19251697457619,2,624.6760424493718,0.0
CCDC85B,1372.8818645160118,802.4563728036563,195.74231095317245,4.099555016470754,1,8908.204829021353,0.0
C11orf68,1475.3406536597086,717.670027963129,210.08876581755726,3.4160323859789785,1,5018.73646179853,0.0
DRAP1,2853.5925091209524,970.3016222758976,403.05855726941314,2.407346537558628,1,9128.237833970143,0.0
SART1,4872.548136049755,1572.832975943914,685.718867148367,2.2936994317871156,1,15339.961661572466,0.0
EIF1AD,661.8700565126135,204.54265776016848,96.1669418354853,2.1269539600217677,1,1859.108360424673,0.0
BANF1,1798.213383063991,959.6637553077549,255.29632244758383,3.7590191120155607,1,12930.032623805897,0.0
CATSPER1,202.6710296458809,108.04564774242634,31.74510570619073,3.403537185934018,1,977.9965705428832,0.0
SF3B2,8633.324101030195,2663.284107154396,1212.2315417263467,2.1970094123780974,2,25034.56368168087,0.0
PACS1,9035.0713080694,3569.510185747906,1268.4763839856414,2.8140139074030337,1,36436.45950735732,0.0
ENSG00000301154,44.15274617869442,18.630319050261946,9.075365561951246,2.052845025700137,1,191.4970251770776,0.0
ENSG00000255320,56.08299223103425,33.95876349029404,10.850387632509943,3.129728138794485,1,531.5200764223474,0.0
KLC2,374.6370430213214,297.62867825096083,55.906655753094434,5.323671649497423,1,4753.113223324081,0.0
RAB1B,5929.634663629837,1856.7556427638312,833.7126319352443,2.2270930913615428,1,15790.292648903234,0.0
ENSG00000245156,74.48066996691789,47.58386660517567,13.535476565745604,3.5154925187929287,1,425.75954142810224,0.0
CNIH2,40.117493639616825,33.85032544635612,8.465340763356243,3.998696141433948,1,507.5027719694928,0.0
YIF1A,570.3440616397778,260.6337812171452,83.34311066390461,3.1272384620751157,1,2403.8155754721106,0.0
CD248,108.39578693042189,141.66397259929613,18.403501318119446,7.697664164580395,1,1646.948396469665,0.0
BRMS1,2348.6377646102455,779.3712474175952,332.36152757492425,2.3449502507232927,1,7704.201441717819,0.0
B4GAT1,51.700242290507646,34.31287963401563,10.202420170101439,3.3632098131549966,1,341.10591409629967,0.0
SLC29A2,139.2648584044282,125.13711351221622,22.790370638012334,5.490788873064597,1,1213.5896741244865,0.0
MRPL11,521.075084114576,258.4577879906763,76.43855213503736,3.3812491311201365,1,3091.5393970954233,0.0
PELI3,258.88405510087046,173.09888368620574,39.65469396195226,4.365154951196699,1,1438.6336141346228,0.0
DPP3-DT,53.803198006574554,24.511996992400466,10.51384642625971,2.33140146798973,1,263.6580909398801,0.0
CFL1,60912.85664756521,19918.30403991468,8531.370611689392,2.334713253767607,1,197011.3490812133,0.0
AP5B1,14557.771330356692,9189.312860586166,2041.6562911094218,4.5009108049194495,1,66885.6981439847,0.0
ENSG00000297007,59.42059178952734,61.95800706100166,11.341269931997614,5.4630572618853614,2,897.5407928546085,0.0
RNASEH2C,1408.7770862401894,590.5670940869323,200.7684574555027,2.9415332546339985,1,7498.812843045582,0.0
POLA2,592.3031666581622,267.1469580492242,86.42010631115066,3.0912593081912774,1,3757.92458079804,0.0
ENSG00000287917,51.21168107541686,30.929060782571216,10.129923599681934,3.053237319928291,1,271.8167127769239,0.0
CDC42EP2,1393.0219289875336,1033.8413807497625,198.56238260036685,5.206632632075661,1,8811.453913595913,0.0
DPF2,2120.810202576858,623.1235152472032,300.46363198150476,2.073873337474533,1,5488.924872167322,0.0
TIGD3,171.71584906824958,220.78642918703545,27.379700005010193,8.063873203381844,1,2153.3113142826915,0.0
SLC25A45,716.4263470177293,399.67762582688005,103.80970030185341,3.8500990241250532,1,3676.792034500873,0.0
FRMD8,1650.0867911023815,718.7412632376344,234.55639106032746,3.064257852828131,1,5610.745508108094,0.0
ENSG00000290057,35.70829332872881,17.821862234079106,7.791014355830655,2.2874893332395856,1,177.54731542839846,0.0
NEAT1,32901.38426435217,28165.950859617846,4609.763842093361,6.110063730906284,1,239161.12431085086,0.0
FAUP4,127.19520930383358,67.41732577070516,21.078334521323452,3.198418058243826,1,567.0520430684033,0.0
ENEMAL,28.129619313491734,29.557111284124666,6.605953282823176,4.474314306911491,1,320.7304022228208,0.0
SCYL1,3749.8825519317343,1074.590326920047,528.5429196917314,2.033118384306034,1,10000.001843731401,0.0
LTBP3,1676.496369255362,1343.7864160674455,238.2541539225141,5.640138456954151,1,13446.257225943333,0.0
ZNRD2-DT,114.18531437676403,53.64691770122229,19.22851321229607,2.7899670197546356,1,512.8634766803266,0.0
ZNRD2,282.2235535332334,148.9294868437742,42.93444052557551,3.4687650525004226,1,1587.920166258169,0.0
FAM89B,71.0697103770362,36.25145343161692,13.04099012902479,2.7798083637018918,1,308.03189128777797,0.0
ENSG00000289339,270.7350795045977,208.63654241920906,41.32028257021085,5.049252556893742,1,2530.6498304062256,0.0
EHBP1L1,16264.810321393206,6120.952293350439,2280.6420771841895,2.683872386020219,1,63600.4537265723,0.0
KCNK7,182.30842017098024,154.92986310333688,28.874574931064497,5.365615371766278,1,2602.6214693685993,0.0
