gene,mean_train,max_train,uncovered_fraction,covered_within_total,n_clipped_intervals,holdout_inside_rate,holdout_above_rate,tight_and_holdout_all_in
TNFSF10,5820.381442484273,24058.84592133442,0.007243910202033188,23884.565801915724,1,1.0,0.0,False
NCEH1,224.12194957224017,2427.16622012127,0.0007622794420779622,2425.316041209165,1,1.0,0.0,False
ECT2,152.36019491247538,1270.2704097418625,0.0,1270.2704097418625,1,1.0,0.0,False
TBL1XR1,2455.721001227195,8853.631187903959,0.0175254550487709,8698.467272501952,1,1.0,0.0,False
ZMAT3,578.340370420994,2293.666612416933,0.009799320295869052,2271.1902386299184,2,1.0,0.0,False
PIK3CA,770.7171387018193,2292.3700468784396,0.013981641839419967,2260.318949919571,1,1.0,0.0,False
ZNF639,330.10506184047375,1655.367952692343,0.010191742769340317,1638.496868329893,1,1.0,0.0,False
MFN1,702.3807798027902,2002.1076013534587,0.01816666928831645,1965.735974680046,1,1.0,0.0,False
GNB4,612.6791681070258,2806.8391894996626,0.009102458725467444,2781.2900516282175,1,0.98,0.02,False
ACTL6A,365.81367156950375,1585.2404751931672,0.005991133057271503,1575.7430885785127,1,1.0,0.0,False
MRPL47,242.24343871399324,1122.8791965695134,0.011453922797057925,1110.0178249415837,1,1.0,0.0,False
NDUFB5,694.3715957007374,2011.5524414852014,0.056655696973781366,1897.5865359135457,1,1.0,0.0,False
USP13,89.39012551156463,3241.6691204965587,0.29857059660319707,2273.80203719974,2,1.0,0.0,False
TTC14,870.8607541936987,3801.9408232195988,0.007665598715102417,3772.796670530231,2,1.0,0.0,False
CCDC39,24.181384728737328,216.56561669227156,0.0,216.56561669227156,1,1.0,0.0,False
FXR1,1615.1577166443997,7093.654629153114,0.034908848460566855,6846.0233146724095,1,1.0,0.0,False
DNAJC19,128.57995669185087,501.520375497892,0.0,501.520375497892,1,1.0,0.0,False
ATP11B,6980.723758530436,25835.097146313277,0.02028794540095724,25310.956105980447,1,1.0,0.0,False
EIF3EP4,18.90956326928606,193.17199970425787,0.0,193.17199970425787,1,1.0,0.0,False
DCUN1D1,1000.23240170098,4384.666551069108,0.025474113646686725,4272.971057044348,1,1.0,0.0,False
MCCC1,268.1909006915047,1013.3709333279097,0.02949062366057764,983.485992504568,1,1.0,0.0,False
LAMP3,42.068467370668884,977.8257294731552,0.0,977.8257294731552,1,1.0,0.0,False
MCF2L2,24.69569904821237,183.67761561273485,0.0,183.67761561273485,1,1.0,0.0,False
B3GNT5,685.2744842980616,14506.52945585336,0.0011529206328906305,14489.804578732072,1,1.0,0.0,False
KLHL6,1845.6652920375213,10784.167844565496,0.016153458754667338,10609.966234084897,1,1.0,0.0,False
KLHL24,2063.7065051428185,9464.508410985392,0.021111797957413136,9264.695621646431,1,1.0,0.0,False
YEATS2,978.6009428117479,5210.5960780729565,0.01514518599638126,5131.680631318527,1,1.0,0.0,False
YEATS2-AS1,47.57807616142457,481.1420394887069,0.0,481.1420394887069,1,1.0,0.0,False
MAP6D1,64.62041026365382,678.4930567434512,0.13319516378405893,588.1210629241605,2,1.0,0.0,False
PARL,910.3874783683601,3555.497504522842,0.039540592967524324,3414.9110248994557,1,1.0,0.0,False
ABCC5,1445.2593460173264,4783.52207215258,0.018371473130829985,4695.641724933297,1,0.98,0.02,False
EIF2B5,1429.898683871553,4132.282394618121,0.046578908874537306,3939.8051895153485,1,1.0,0.0,False
RPS3P3,36.046282105771844,403.07443903543464,0.0,403.07443903543464,1,1.0,0.0,False
DVL3,3333.391589893161,7256.677346104914,0.076162693781335,6703.989251523575,1,1.0,0.0,False
AP2M1,12530.544010484655,29892.26468506136,0.12986317881175713,26010.360171176864,1,1.0,0.0,False
ABCF3,1472.5147756410136,3400.7022430022225,0.06885119207356671,3166.5598396842674,1,1.0,0.0,False
ALG3,819.1516426800748,3527.4632316293178,0.025811949115017274,3436.4125301894073,1,1.0,0.0,False
EEF1AKMT4,107.5119661020649,701.2152025432962,0.0,701.2152025432962,1,1.0,0.0,False
PSMD2,4288.331614939774,12216.529656163291,0.06775299223143882,11388.823217274117,1,1.0,0.0,False
EIF4G1,4883.751073405111,18924.06324111477,0.039225816421827875,18181.75141046374,1,1.0,0.0,False
FAM131A,1002.4132947841539,3534.326516019033,0.04410833105713008,3378.4332719864724,1,1.0,0.0,False
CLCN2,55.2090795725598,489.909386873524,0.02276624019647988,478.75599209745116,2,1.0,0.0,False
POLR2H,461.19495689849384,1744.5967916808206,0.019536004470465107,1710.514340959385,1,1.0,0.0,False
EPHB3,39.67001325595047,528.4501808850442,0.0,528.4501808850442,1,1.0,0.0,False
MAGEF1,134.86635741325222,756.6644826130783,0.0013315134594860112,755.656973670164,1,1.0,0.0,False
VPS8,3693.880340697761,11670.682503374675,0.04845192037409862,11105.21552400978,1,1.0,0.0,False
EHHADH,28.81476152977144,359.554299230686,0.0,359.554299230686,1,1.0,0.0,False
MAP3K13,328.0341718606329,1312.2157745808468,0.01373688917701088,1294.1900119091042,1,1.0,0.0,False
RPL4P4,141.18426001883492,993.207356876096,0.00226867915387019,990.9540880500807,1,1.0,0.0,False
TMEM41A,213.22200827250956,875.0303055015668,0.008873030273006344,867.2661351110534,1,1.0,0.0,False
SENP2,754.0810222463663,1711.8963860593262,0.05862469754140898,1611.5369782043672,1,1.0,0.0,False
IGF2BP2,1104.5444934816292,11449.0,0.0026871554126766117,11418.234757680266,1,1.0,0.0,False
TRA2B,2466.2349031437243,10403.492616264539,0.035494533840695675,10034.225495535109,1,0.98,0.0,False
NMRAL2P,27.07095033005259,351.9787454488652,0.0,351.9787454488652,1,1.0,0.0,False
ETV5,56.01265343441532,515.1975279595246,0.0,515.1975279595246,1,1.0,0.0,False
DGKG,208.5732254088623,704.7000226077703,0.012279687967654662,696.0465262193477,1,0.98,0.02,False
CRYGS,46.105741424038364,251.2679060332922,0.0,251.2679060332922,1,1.0,0.0,False
TBCCD1,147.62630945111584,807.517947261466,0.009614857993985204,799.7537768709526,1,1.0,0.0,False
DNAJB11,1168.7048328951823,5342.775677717802,0.022260444112649602,5223.8431183375415,1,1.0,0.0,False
AHSG,98.7718739955281,15448.501869848262,0.2731785358685205,11228.302747681013,2,1.0,0.0,False
HRG,309.73699345921773,35715.82782500745,0.1885433780486543,28981.844997076427,3,1.0,0.0,False
KNG1,68.5335629619785,9200.41581514299,0.053347537956539126,8709.596283228706,2,1.0,0.0,False
EIF4A2,4149.401206521355,18156.440447220888,0.018370747967119683,17822.893055784974,1,1.0,0.0,False
RFC4,162.6218609626258,1460.0801565002982,0.006645539184171212,1450.3771366082447,1,1.0,0.0,False
ST6GAL1,2674.4653960481037,14128.814088909889,0.010727207462725263,13977.251368975876,1,1.0,0.0,False
RPL39L,37.91026244905329,380.2006360506128,0.0,380.2006360506128,1,1.0,0.0,False
RTP4,108.7016397165579,2152.2799781578174,0.010746797264976848,2129.1498615750866,2,1.0,0.0,False
ENSG00000228804,55.98018516177052,494.22286510583604,0.0,494.22286510583604,1,0.96,0.04,False
BCL6,56270.37451955324,295220.210322385,0.01413627836273168,291046.8952509636,1,1.0,0.0,False
BCL6-AS1,125.34128343725403,1333.8920181492208,0.0,1333.8920181492208,1,1.0,0.0,False
ENSG00000290021,646.7530119217333,4365.755649828787,0.0061979272799119745,4338.697013789283,1,1.0,0.0,False
ENSG00000303324,53.06767955171153,637.6838957337172,0.0,637.6838957337172,1,1.0,0.0,False
LPP-AS2,69.75247942290792,414.1238148442125,0.0,414.1238148442125,1,1.0,0.0,False
LPP,2308.7476184218194,6449.382555211184,0.047881588024002775,6140.575876693371,1,1.0,0.0,False
TPRG1,66.04230042901733,534.719315240849,0.0,534.719315240849,1,1.0,0.0,False
IL1RAP,3675.3348064322745,19367.428563327896,0.0089597859523326,19193.900548953385,1,0.98,0.0,False
CCDC50,564.6363440613198,6443.717347791599,0.10506268972307364,5766.723071417384,2,1.0,0.0,False
MB21D2,43.873598165209344,347.38393099155155,0.0,347.38393099155155,1,1.0,0.0,False
ATP13A4,23.158754503014983,295.33601830949226,0.0,295.33601830949226,1,1.0,0.0,False
OPA1,644.5566487234406,5152.905755502792,0.2132122226536889,4054.2432662470555,2,1.0,0.0,False
ENSG00000306963,52.316534081517034,502.86200404651976,0.0,502.86200404651976,1,1.0,0.0,False
HES1,86.80368667019428,515.1348384861016,0.0,515.1348384861016,1,1.0,0.0,False
GP5,34.68616418909677,582.8888911651679,0.0,582.8888911651679,1,1.0,0.0,False
ATP13A3,1938.7381812835301,23092.92983318717,0.20006837743308192,18472.7648312854,2,1.0,0.0,False
ATP13A3-DT,188.7881520852528,1224.3618263783453,0.0,1224.3618263783453,1,1.0,0.0,False
ENSG00000288979,26.65264950852655,162.7680040638306,0.0,162.7680040638306,1,1.0,0.0,False
TMEM44-AS1,80.44326493141313,371.06987316609593,0.0,371.06987316609593,1,1.0,0.0,False
TMEM44,105.23266128582337,1088.1891290026292,0.2623985861783982,802.6498400576368,2,1.0,0.0,False
LSG1,643.6103647350504,2803.667710045,0.020597741406336523,2745.9184875641977,1,0.98,0.0,False
FAM43A,283.31368917785016,1588.5528019017536,0.001238189128776268,1586.5858730919517,1,1.0,0.0,False
XXYLT1,325.66971882839204,1368.6769649127214,0.017044537083296563,1345.3484996292127,1,1.0,0.0,False
ACAP2,4475.009302942004,13257.578769256104,0.04171251834881118,12704.5717715827,1,1.0,0.0,False
PPP1R2,2220.542604092078,7512.284225989403,0.052824468335836205,7115.451805763824,1,1.0,0.0,False
APOD,205.13083211621395,13197.167571431757,0.17920748104981377,10832.136413963184,2,1.0,0.0,False
MUC20-OT1,345.9939593264363,2150.3904764538524,0.008384786131411803,2132.359912209762,1,1.0,0.0,False
MUC20,136.00665638092252,799.910935161433,0.0007317407520658348,799.3256077321523,1,1.0,0.0,False
TNK2,7258.270229295952,17831.978568710114,0.06007472378379175,16760.72738167636,1,1.0,0.0,False
ENSG00000286004,40.716037604641734,466.51943658592285,0.0,466.51943658592285,1,1.0,0.0,False
TNK2-AS1,53.967924673763875,511.6027914583295,0.09393383739104033,463.5459780366804,2,1.0,0.0,False
ENSG00000290762,33.07201572108521,162.73391229672953,0.0,162.73391229672953,1,1.0,0.0,False
SDHAP1,225.14676047648365,823.6686413324746,0.006952957234867774,817.9417084935883,1,1.0,0.0,False
TFRC,3861.0255771362276,39835.68794027246,0.0013177502801446916,39783.19445132941,1,1.0,0.0,False
ZDHHC19,3481.4600474425124,49552.76604851089,2.70456543672859e-05,49551.4258615274,1,1.0,0.0,False
SLC51A,599.9406638871029,4334.470940734552,0.0022549081444777075,4324.697106908287,1,1.0,0.0,False
ENSG00000309772,64.43168984166334,461.49852532929805,0.0,461.49852532929805,1,1.0,0.0,False
