geneid,chrm_probe,s1,s2,log2FC,mean_expr
NELL1,11,20691117,21597229,0.06183468802046477,21144173.0
GRIN2A,16,9847265,10276611,0.06156957961362508,10061938.0
LY86-AS1,6,6346698,6623059,0.06149150537710568,6484878.5
SOX5,12,23685231,24715380,0.061421343138622575,24200305.5
LPCAT1,5,1461542,1524076,0.06044351781884316,1492809.0
PDGFA,7,536897,559481,0.059443685951798386,548189.0
GNA12,7,2767741,2883959,0.059341688945451665,2825850.0
MMP23B+MMP23A,1,1567560,1633247,0.05922228799126472,1600403.5
TMC2,20,2517253,2622430,0.05905401691018852,2569841.5
METT10D,17,2319348,2415200,0.058423335962572764,2367274.0
CREBBP,16,3775056,3930121,0.05807566972871925,3852588.5
FAM193A,4,2627159,2734302,0.057669056564861876,2680730.5
THSD7A,7,11410062,11871824,0.057234973367648934,11640943.0
RPA1,17,1733273,1802848,0.056778829874705394,1768060.5
NAV2,11,19372271,20143147,0.0562960027872208,19757709.0
RNF212,4,1065266,1107352,0.05590012030864955,1086309.0
C2orf46,2,8147901,8468549,0.0556863417275153,8308225.0
MAEA,4,1283672,1333925,0.05540089440163953,1308798.5
LOC100133161,11,126987,131920,0.054982067067239626,129453.5
CAMK1D,10,12391583,12871733,0.05484580047001586,12631658.0
ADCY9,16,4012650,4166186,0.05417191315153147,4089418.0
CRAMP1L,16,1664641,1727909,0.053816132330890554,1696275.0
RGS12,4,3315874,3441640,0.053706994740643665,3378757.0
MCPH1,8,6264113,6501140,0.05358247604994659,6382626.5
MSRA,8,9911830,10286401,0.05351494709341509,10099115.5
SLC6A3,5,1392905,1445543,0.05351462154553488,1419224.0
SKI,1,2160134,2241652,0.05344149329725312,2200893.0
AGRN,1,955503,991492,0.053340674246857844,973497.5
NXPH1,7,8473585,8792593,0.0533162098704949,8633089.0
LOC100288778,12,87984,91263,0.05278829803288332,89623.5
KDM4B,19,4969124,5153608,0.05259125146424992,5061366.0
EFCAB4B,12,3724494,3862366,0.052440429424343904,3793430.0
SNRNP25,16,103829,107669,0.05239298165063033,105749.0
PPAP2C,19,281044,291435,0.05237795061612616,286239.5
PAFAH1B1,17,2496923,2588909,0.05219290276675892,2542916.0
SLC43A2,17,1477696,1532130,0.052189178679928006,1504913.0
RAD52,12,1021255,1058863,0.05217274774845038,1040059.0
MAPK8IP3,16,1756221,1820318,0.051716072066934515,1788269.5
ACCN1,17,31340106,32483825,0.05171146019006656,31911965.5
UNKL,16,1413206,1464705,0.05163831138827746,1438955.5
MEGF6,1,3404506,3528059,0.05142919680184832,3466282.5
SPON2+LOC100130872+LOC100130872-SPON2,4,1160721,1202750,0.05131551960447567,1181735.5
SIRPB1,20,1545029,1600689,0.05105908188022923,1572859.0
ABCA17P,16,2390923,2476700,0.05085143756677013,2433811.5
NRG1,8,31497268,32622558,0.05064321149169615,32059913.0
KIAA1217,10,23983675,24836772,0.050424939911980715,24410223.5
STX8,17,9153788,9479275,0.05040783702132501,9316531.5
ZZEF1,17,3907739,4046253,0.05025240530664732,3976996.0
SFMBT2,10,7200586,7453448,0.04979364956437493,7327017.0
ADAMTS16,5,5140443,5320412,0.04964526413012038,5230427.5
LOC643837,1,763064,789740,0.04957363583704222,776402.0
KAZ,1,14925213,15444544,0.04934575222924664,15184878.5
GLOD4,17,662549,685571,0.04927885528053011,674060.0
SNPH,20,1246960,1289971,0.04892340690989272,1268465.5
FLJ35024,9,2535655,2622373,0.04851442036107301,2579014.0
CDKAL1,6,20534688,21232634,0.04822032513052221,20883661.0
C1orf159,1,1017198,1051736,0.04817203693857408,1034467.0
LOC100288428,3,8262834,8543344,0.048164183949975126,8403089.0
BRD9,5,863850,892939,0.047780745662450386,878394.5
DLC1,8,12940872,13372429,0.04732670590765764,13156650.5
B4GALNT4,11,369795,382117,0.047288599178664015,375956.0
NUP98,11,3696240,3819022,0.04714478306970804,3757631.0
C18orf1,18,13218786,13652753,0.046602200991667786,13435769.5
MYLK4,6,2663863,2751154,0.04651699391343911,2707508.5
SLC23A2,20,4833002,4990939,0.04639166988325272,4911970.5
LPIN2,18,2916992,3011945,0.04621398056794135,2964468.5
LRRC56,11,537522,554916,0.0459455136259983,546219.0
DNAH9,17,11501748,11873065,0.045839272853744006,11687406.5
SOX6,11,15987995,16497935,0.04529642822200586,16242965.0
PAK7,20,9518037,9819687,0.045012972304100174,9668862.0
DOT1L,19,2164148,2232577,0.04491074890452751,2198362.5
RIC8A,11,208530,215110,0.04481943171732894,211820.0
PITPNA,17,1421283,1466110,0.04479947304681531,1443696.5
MUC5B,11,1244295,1283406,0.04464903459764713,1263850.5
FAM150B,2,279561,288308,0.0444476004812806,283934.5
CTBP1,4,1205228,1242908,0.04441338052772892,1224068.0
MORN1,1,2252696,2322993,0.04433215156045023,2287844.5
GALNTL4,11,11292421,11643561,0.04417752652208051,11467991.0
LOC729852,7,7680342,7918851,0.044120554858011474,7799596.5
NFIC,19,3359616,3463603,0.043977220034634,3411609.5
C21orf34,21,17442842,17982094,0.04392590810895314,17712468.0
EYS,6,64429876,66417118,0.043825303298294926,65423497.0
EPS8L2,11,706120,727727,0.04348389770990124,716923.5
GRIN2B,12,13714410,14133022,0.043377422338803484,13923716.0
AGBL4,1,48998527,50489626,0.043248610453478165,49744076.5
KIAA1530,4,1341104,1381837,0.04316629553559537,1361470.5
ADD1,4,2845584,2931789,0.04305649433331382,2888686.5
CELF2,10,11047259,11378672,0.04264372881953804,11212965.5
SMYD4,17,1682829,1733175,0.04252872173427491,1708002.0
LYRM4,6,5108653,5261172,0.04244126223834144,5184912.5
SYT9,11,7273181,7490276,0.04243239443626834,7381728.5
SRGAP3,3,9022278,9291311,0.042390430040097016,9156794.5
PRR4+PRH1,12,10998448,11324213,0.04211082862157056,11161330.5
TTC15,2,3383446,3483342,0.04197875048774691,3433394.0
NKD2,5,1009168,1038925,0.041925103576076594,1024046.5
