lncRNA,pc,r,direction
LINC02207,ACSF2,-0.7418817038735703,neg
LINC02207,IL21R,-0.7415494485856634,neg
LINC02207,HLA-DQA1,-0.7409420748431966,neg
LINC02207,SLC29A1,-0.7406113048634085,neg
LINC02207,NR1D1,-0.7399247688992233,neg
LINC02207,AARS1,-0.7398553128238635,neg
LINC02207,PRMT1,-0.7395073482570649,neg
LINC02207,SF3B3,-0.739354856107958,neg
LINC02207,RNF207,-0.738490790381214,neg
LINC02207,MTFP1,-0.7384748512093343,neg
LINC02207,DAZAP1,-0.738086118633804,neg
LINC02207,CD74,-0.7377734972288749,neg
LINC02207,GZMM,-0.7375126964395428,neg
MIR223HG,P2RY13,0.9132761140984627,pos
MIR223HG,NLRP12,0.9124205151828015,pos
MIR223HG,FRAT1,0.905961312662994,pos
MIR223HG,NLRC4,0.9034580688390543,pos
MIR223HG,RAB3D,0.9034246252774877,pos
MIR223HG,C1RL,0.9020127268688477,pos
MIR223HG,FLOT2,0.8969215107508538,pos
MIR223HG,APH1B,0.8958536116727702,pos
MIR223HG,KCNH7,0.8884257816930642,pos
MIR223HG,SLC22A4,0.8877099148718243,pos
MIR223HG,CKLF,0.887438935606955,pos
MIR223HG,IRAG1,0.8869611362530709,pos
MIR223HG,IMPA2,0.8866557545330638,pos
MIR223HG,MED18,0.8857400491485111,pos
MIR223HG,KCTD21,0.8842586552265688,pos
MIR223HG,CARD6,0.8842362279309754,pos
MIR223HG,LRRC4,0.8834977727185976,pos
MIR223HG,CANT1,0.8826174956473513,pos
MIR223HG,GCA,0.8816595190009745,pos
MIR223HG,IL10RB,0.8808574371658394,pos
MIR223HG,SFXN5,0.8803379848116265,pos
MIR223HG,DYNLT1,0.8788864751026273,pos
MIR223HG,NFAM1,0.8783941651262368,pos
MIR223HG,HTATIP2,0.8774797204454573,pos
MIR223HG,HRH2,0.8769789070902906,pos
MIR223HG,PTAFR,0.8767099873849368,pos
MIR223HG,MNDA,0.8755515336154309,pos
MIR223HG,CA4,0.875111930138172,pos
MIR223HG,SAP30L,0.8750052709857886,pos
MIR223HG,GLT1D1,0.8737572474109978,pos
MIR223HG,NMI,0.8718321457563163,pos
