geneid	chrm_probe	s1	s2
AEN	15	89164527	89175512
AES	19	3052908	3062964
AFAP1	4	7760440	7941653
AFAP1-AS1	4	7755817	7780654
AFAP1L1	5	148651401	148721367
AFAP1L2	10	116054583	116164515
AFF1	4	87856154	88062206
AFF3	2	100163716	100759037
AFF4	5	132211071	132299354
AFG3L1P	16	90038988	90067195
AFG3L2	18	12328943	12377275
AFM	4	74347462	74369718
AFMID	17	76183398	76203782
AFP	4	74301933	74321492
AFTPH	2	64751439	64820138
AGA	4	178351929	178363657
AGAP1	2	236402736	237034120
AGAP11+C10orf116	10	88728188	88769960
AGAP2	12	58118994	58135940
AGAP3	7	150783826	150841523
AGAP4	10	46321050	46342921
AGAP5	10	75434033	75457554
AGAP6	10	51748078	51770259
AGAP7	10	51464162	51486327
AGAP8	10	51224688	51246535
AGBL1	15	86685242	87572283
AGBL2	11	47681143	47736302
AGBL3	7	134671259	134820530
AGBL4	1	48998527	50489626
AGBL5	2	27274491	27293490
AGER	6	32148746	32152023
AGFG1	2	228336888	228425938
AGFG2	7	100136834	100165843
AGGF1	5	76326210	76361058
AGK	7	141251078	141354209
AGL	1	100315640	100389579
AGMAT	1	15899152	15911605
AGPAT1	6	32135983	32145888
AGPAT2	9	139567595	139581911
AGPAT3	21	45285116	45407475
AGPAT4	6	161551057	161695107
AGPAT5	8	6565878	6619021
AGPAT6	8	41435707	41482520
AGPAT9	4	84457653	84527026
AGPHD1	15	78799906	78829715
AGPS	2	178257471	178408564
AGR2	7	16832264	16844738
AGR3	7	16899030	16921613
AGRN	1	955503	991492
AGRP	16	67516474	67517716
AGT	1	230838272	230850336
AGTPBP1	9	88161454	88356944
AGTR1	3	148415658	148460790
AGTRAP	1	11796142	11810828
AGXT	2	241808162	241818536
AGXT2	5	34998206	35048240
AGXT2L1	4	109663202	109684235
AGXT2L2	5	177635540	177659803
AHCTF1	1	247002402	247094726
AHCY	20	32868071	32899608
AHCYL1	1	110527308	110566364
AHCYL2	7	128864855	129070052
AHDC1	1	27860756	27930143
AHI1	6	135605110	135818903
AHNAK	11	62201016	62314332
AHNAK2	14	105403591	105444694
AHR	7	17338276	17385775
AHSA1	14	77924373	77935815
AHSA2	2	61404555	61414686
AHSG	3	186330850	186339107
AHSP	16	31539203	31540124
AICDA	12	8754762	8765442
AIDA	1	222841355	222885864
AIF1	6	31582994	31584798
AIF1L	9	133971863	133998539
AIFM2	10	71872023	71892690
AIFM3	22	21319418	21335649
AIG1	6	143382023	143661441
AIM1	6	106959730	107018334
AIM1L	1	26648350	26680621
AIM2	1	159032275	159046647
AIMP1	4	107236767	107270381
AIMP2	7	6048882	6063465
AIP	11	67250505	67258579
AIRE	21	45705763	45718110
AJAP1	1	4715105	4843851
AK1	9	130628759	130640022
AK2	1	33473541	33502512
AK3	9	4709557	4742043
AK4	1	65613232	65697828
AK5	1	77747742	78025654
AK7	14	96858448	96955112
AK8	9	135600965	135754198
AKAP1	17	55162553	55198710
AKAP10	17	19808750	19881129
AKAP11	13	42846289	42897402
AKAP12	6	151561134	151679694
AKAP13	15	85923871	86292586
AKAP2+PALM2+PALM2-AKAP2	9	112403068	112934791
AKAP3	12	4724676	4754343
AKAP5	14	64932217	64941221
AKAP6	14	32798479	33302268
AKAP7	6	131466461	131604673
AKAP8	19	15464335	15490603
AKAP8L	19	15490859	15529833
AKAP9	7	91570189	91739987
AKD1	6	109814059	110012415
AKIRIN1	1	39456916	39471737
AKIRIN2	6	88384578	88411985
AKNA	9	117096433	117156685
AKNAD1	1	109358525	109399716
AKR1A1	1	46016498	46035721
AKR1B1	7	134127107	134143888
AKR1B10	7	134212344	134226166
AKR1B15	7	134233849	134264592
AKR1C1	10	5005454	5020158
AKR1C2	10	5031965	5060207
AKR1C3	10	5136568	5149878
AKR1C4	10	5238798	5260912
