gene,mean_cpm,mean_log2cpm,cv
ARSA,43.48334012373647,5.4751932147615525,0.257267001093037
TNPO2,38.47107937376988,5.302724066509897,0.25756975250855596
UBR3,38.650738323065774,5.309275825005982,0.25758232581590096
TOMM7,43.210138892276134,5.466305361612801,0.2576507599524881
SON,123.25847689449583,6.95720046535699,0.25788734200682295
SPAG9,51.327649182007946,5.709501542266517,0.25813609995959436
MAGI1,38.2660604381165,5.295210954630912,0.2581704123023979
USP40,49.4859128569123,5.657808982026103,0.2582312841468746
MRPS25,55.94781360696811,5.831568548604154,0.2583786856410355
HECTD3,53.35983071184336,5.764469058138282,0.25841699813923913
BRK1,51.484138997397594,5.71380959295996,0.25846075932501633
PEF1,42.93055322092644,5.45715276240503,0.2585534985040361
MASP2,168.38796181874025,7.404187537635331,0.2585598746930572
PICALM,98.37351193641257,6.6347894467701405,0.2586040955422313
EFR3A,51.551484303305756,5.715659608204721,0.2588296223716045
ZNF655,44.09311541766521,5.494835282005171,0.2588307657292231
NDUFV2,128.37563136364997,7.015422092873522,0.25889518053335653
TMEM205,44.19927953314955,5.498227871460652,0.2589646659750916
MRPS27,44.84289389317449,5.51862621388516,0.25898249094065484
KCTD3,59.781744167288885,5.9255661693098345,0.25905732123512654
ISOC2,114.21035975927715,6.848126640073526,0.2593128120383929
SPG7,104.14407674996839,6.716223768478329,0.25944075112429643
USF2,96.13893881237571,6.601977820712808,0.25973154184840547
STIMATE,43.28814217046689,5.46884857421331,0.2599066914153531
MBD3,65.38657321484109,6.052819578701818,0.25998904571905523
TAF7,47.26202559515922,5.592816562756904,0.2600643343942332
SETD7,76.69185870571009,6.27969152208824,0.26006475116745614
SRRT,93.55613350729799,6.563099138398856,0.2601110631347626
GGA1,49.16586802261804,5.648634208417684,0.26029566799208853
POLRMT,50.90146101854475,5.697703245696755,0.26054490472312986
ARPP19,47.743086947212284,5.607125716125241,0.26058547664762677
DIDO1,48.58190164035562,5.6317416998033,0.26069233867685626
NCOR1,64.87152827588909,6.041583117160635,0.2608456213919748
