gene,mean_cpm,std_cpm,cv
ARCN1,92.60902749638257,27.020783535576218,0.29177267342140795
ADIPOR2,63.929339681481224,18.66046951606644,0.29189210476816363
PPP6R2,60.74424542272626,17.734317435194495,0.29195057592335405
IGBP1,44.56432108297413,13.014599164577502,0.2920407816904845
SH3BP2,383.5166791862006,112.02169728856478,0.29209080952168265
FBH1,35.72107662497443,10.442435746134592,0.29233261516070186
CALM1,285.226743126205,83.4021266591101,0.2924064053215618
MBD1,61.08793612485139,17.87423886593971,0.2925985063467913
ACAA1,127.45119998634645,37.313707721068404,0.29276858691848906
CSDE1,277.51777945841997,81.26439961234921,0.29282592189566337
PHYKPL,65.04366704254836,19.06158817752843,0.2930583259559963
CMTM7,72.97673720379301,21.415124344467635,0.29345138142671817
WDR83OS,43.68995983453888,12.821860878611483,0.2934738536535624
VPS28,145.56316435405662,42.72247793006594,0.2934978647905117
AP3D1,84.23888790297804,24.72405881318007,0.2934993496312054
PEF1,71.56071304738441,21.003595841626304,0.29350735825841523
CDK12,58.450790706536004,17.16486856226387,0.29366358187425656
DAPK3,39.39806730390458,11.571762602841803,0.29371396605779626
DCAF8,101.64898434893425,29.873538010655533,0.29388919330573465
GPBP1L1,89.2376241747782,26.22963524682984,0.2939302283021032
AFTPH,53.99280642453054,15.880842630234339,0.2941288605257459
ATF6B,100.29764894475016,29.50832700691308,0.29420756435844275
SUGP1,30.79712256270302,9.066358541650473,0.29438979317601327
PLCG2,185.14955991855203,54.67380945849845,0.29529537894958896
STX4,64.03924783779115,18.911307155502445,0.2953080773747379
TMEM179B,22.113750882835845,6.530929607169553,0.2953334168306428
SSH3,48.10512925277339,14.214925166651263,0.29549707874096887
LMO4,21.19120211566964,6.264433961310198,0.2956148465347334
TLE4,76.1699446641517,22.523900676168097,0.2957058820966776
ADRM1,46.50946641362802,13.765918914280126,0.29598101151825923
PAIP2,38.46266358953208,11.392679829831014,0.2962010107103353
TRIM11,33.43764382799681,9.90584084402823,0.2962481715214105
LDB1,124.70227444274849,36.9559196062513,0.29635321225209865
UBE2D3,316.1383791825733,93.70567372793982,0.2964071428791118
RFXANK,36.53468098059656,10.832688403132503,0.29650425602144176
LEMD2,63.12327573048358,18.717592498005647,0.29652441641216226
SAFB,105.03436747470826,31.158776595666755,0.29665315596030634
LRRC28,8.753336503910461,2.5982838578668033,0.2968335396115581
NPLOC4,109.90294238126089,32.6362083032877,0.29695481846218863
TIAL1,48.52155673708389,14.41144025280109,0.2970110858332532
SUMO1,42.32654548561744,12.581251284463567,0.29724257295551504
CNOT3,82.79470811976624,24.625930897132896,0.2974336338200551
MAP2K7,50.35713764911985,15.00935538719323,0.2980581519898116
STX5,81.25053955804307,24.23741352687158,0.29830464706707654
ANKHD1,116.65940162886112,34.80238836936922,0.29832476322902063
HLA-B,3527.7050859882343,1052.8548052832807,0.29845318120982867
GMEB1,15.325010968892974,4.575338398852579,0.2985536785676497
SDF4,72.12858580226674,21.53477960301284,0.2985609569837993
LCP1,3680.33241558434,1099.3344774440884,0.298705212819626
HDAC3,46.7119514019093,13.953988351390672,0.2987241580068162
GLYR1,77.47144512260658,23.143321571148398,0.29873357253787763
PSMD13,107.53154637817315,32.123644993321335,0.2987369388360421
POLR2G,44.575008301791726,13.31712113669599,0.2987575694104963
CLN3,88.25786660506921,26.37480877407127,0.2988380502339992
MKLN1,31.849279938664544,9.52105791097342,0.29894107274353166
GHITM,146.71621041987552,43.86046267383285,0.2989476251350281
DBNL,392.9214021527854,117.48443584550314,0.2990023836874631
NOL7,28.024448672355394,8.381342954236688,0.29907253670629497
MTFR1L,23.471306088616814,7.023185680415803,0.29922432326089976
ATG4D,28.075549065003997,8.406149261826044,0.29941174943232934
WBP1,39.934715116974914,11.959747547261193,0.29948248064946137
ATP6AP1,257.16492325506783,77.02037913116081,0.29949799590190807
CNBP,248.87721606853316,74.55134562121331,0.29955070535940165
SNX15,17.873731452323476,5.3546192106173525,0.29958037720888353
STAT5A,119.37088163227035,35.76828837219146,0.2996399782182892
LSM14A,68.22042121637676,20.453548645518165,0.2998156311677559
NFKBIL1,14.651641893257263,4.394800863040811,0.29995278993703184
CD2BP2,76.8845280123032,23.073103712299115,0.30010073949607796
MBD2,96.48480222367674,28.95865401516665,0.300136947454512
UBE4B,40.178213219671434,12.07234678102443,0.3004699764775442
SETD3,36.09174311002401,10.845868711761236,0.30050830957923275
FDFT1,106.73043148064114,32.08697051165508,0.3006356300309256
PSMB1,68.28464377450355,20.528826054998422,0.3006360569558038
TRIP12,163.34729133361907,49.11251210014275,0.30066315577792957
TRABD,150.69874795131435,45.31467319283755,0.30069707817000035
SUDS3,37.7282361553507,11.345621744416414,0.30071964397432754
STRADA,59.24072987957874,17.81820648172661,0.3007762820942022
