gene,train_std,hdr90_coverage
B4GALT2,0.7681718452775079,0.96
CCDC24,0.5260992292939484,0.92
SLC6A9,1.278842859181692,0.9
ENSG00000230615,0.9791971947643336,0.8
DMAP1,0.5338993593403591,0.98
ERI3,0.6548064379882257,0.94
RNF220,0.5688723408912633,0.94
TMEM53,0.4373868075716047,0.9
ARMH1,0.7111856336503086,0.94
KIF2C,1.2674439687745989,0.94
RPS8,0.828785460792997,0.92
BEST4,0.3823696202895591,0.92
PLK3,0.8445523241392329,0.84
DYNLT4,0.658244907289749,0.92
ENSG00000290041,0.647628279175771,0.94
BTBD19,1.0162980339658083,0.92
PTCH2,0.5358997878714983,0.92
EIF2B3,0.6554483074556768,0.9
HECTD3,0.43495023801871885,0.94
UROD,0.7831999878721949,0.86
ZSWIM5,0.5593855461450089,0.84
MUTYH,0.744473888954219,0.94
TOE1,0.5085290681083866,0.96
TESK2,0.47945762442510564,0.88
CCDC163,0.750998230047681,0.9
MMACHC,0.48903853257986984,0.9
PRDX1,0.6087187731378796,0.86
AKR1A1,0.6273119268461255,0.9
NASP,0.503224235835009,0.92
CCDC17,0.8529796739747205,1.0
GPBP1L1,0.44038280773539884,0.84
TMEM69,0.5714089683086414,0.9
IPP,0.5665462525751165,0.92
MAST2,0.7029539527899219,0.9
PIK3R3,0.6542979242676322,0.86
POMGNT1,0.7761661455591828,0.94
RAD54L,0.7914226987807688,0.92
LRRC41,0.6203695838063318,0.9
UQCRH,0.6304303622388499,0.92
NSUN4,0.5487470233449375,0.84
FAAH,0.6950867868360282,0.84
ENSG00000291138,0.4892445074577993,0.86
MKNK1-AS1,0.9866561131086847,0.84
MKNK1,1.1037296999210806,0.78
MOB3C,0.7238650735018077,0.88
ATPAF1,0.5243469181732008,0.92
EFCAB14,0.5319400310878007,0.9
LINC00853,0.41588494841422996,0.92
PDZK1IP1,1.295850649820024,0.9
ENSG00000309388,0.5109344225954416,0.9
TAL1,1.1821778349403664,0.9
STIL,0.7311434126948799,0.92
CMPK1,0.8918203844018682,0.84
FOXD2-AS1,0.5645988934507282,0.94
SLC5A9,1.4278834721111788,0.92
ENSG00000272491,0.47738148615238934,0.92
SPATA6,0.8490427563058216,0.96
ENSG00000235105,0.42681735942676713,0.9
BEND5,0.47151317465142256,0.88
FAF1,0.6370241897801159,0.92
CDKN2C,0.7245007866820611,0.96
RNF11,0.8454194355939919,0.92
TTC39A,0.4375881492800336,0.88
EPS15,0.5689954646842452,0.9
OSBPL9,0.7308089949344317,0.94
NRDC,0.5630878473631358,0.84
ENSG00000266993,0.43296705820123427,0.84
TXNDC12,0.530399407930125,0.96
KTI12,0.6325293502379127,0.88
BTF3L4,0.6626277803935666,0.88
ZFYVE9,0.542220619174637,0.9
CC2D1B,0.5128360247171977,0.84
ORC1,1.038877040257476,0.92
PRPF38A,0.4494773772858459,0.86
TUT4,0.7061612069609892,0.84
GPX7,0.6737848026788141,0.9
SHISAL2A,0.7828925938760076,0.96
COA7,0.5388765450950894,0.84
ZYG11B,0.6228060012032769,0.86
ECHDC2,1.021726349908778,0.88
SCP2,0.5987351677081083,0.82
PODN,0.8712952345011342,0.94
SLC1A7,1.0512754869881706,0.92
CPT2,0.7392092797042555,0.92
CZIB,0.4578162990811243,0.92
MAGOH,0.44535450907005336,0.96
LRP8,0.7289811615632745,0.88
NDC1,0.6913890730934005,0.82
YIPF1,0.8908404290168728,0.88
IFT25,0.5100312666323693,0.88
LRRC42,0.43933690258362534,1.0
TMEM59,0.6754800456921897,0.86
ENSG00000280378,0.43786531055876704,0.84
TCEANC2,0.7574649470974101,0.86
CYB5RL,0.5885581626233292,0.84
MRPL37,0.6196425360820172,0.96
SSBP3,1.0107072779560051,0.94
SSBP3-AS1,0.42562706493676344,0.92
ACOT11,0.4346940175598984,0.86
MROH7,0.5246429001597265,0.88
TTC4,0.5701782876294622,0.94
PARS2,0.5121328226240018,0.84
TTC22,0.7531029899060835,0.88
CIMAP2,0.45942706265083827,0.92
DHCR24,0.7931437942637929,0.96
BSND,0.8781729801725802,0.92
PCSK9,1.4729957799765527,0.9
USP24,0.6530869845603405,0.94
PLPP3,0.9547875032734108,0.94
C8B,0.723182343542402,0.94
OMA1,0.702494562097603,0.86
TACSTD2,1.0157259934414684,0.9
MYSM1,0.9265149735818847,0.78
JUN,2.9020238112665284,0.86
JUN-DT,0.39621036952855493,0.88
LINC02777,0.3753325617852696,0.96
FGGY,0.49664378916183893,0.92
HOOK1,0.603914946925974,0.86
NFIA,0.5470348628091906,0.94
TM2D1,0.6393273119137449,0.82
PATJ,1.0854408086404423,0.82
USP1,0.9210612690269465,0.8
DOCK7,0.5657776893522969,0.9
ANGPTL3,0.9489255199315378,0.88
ATG4C,0.7096742378991222,0.96
ITGB3BP,0.6122418805741489,0.92
ALG6,0.6568804499007015,0.86
EFCAB7,0.5547020000253294,0.88
PGM1,0.5358261163721187,0.84
CACHD1,0.46461096045819195,0.96
RAVER2,0.7501329743048429,0.82
JAK1,0.5586035507531552,0.86
LINC01359,0.538154206314673,0.86
AK4,0.8298182308140796,0.9
DNAJC6,0.8429017694008123,0.86
LEPROT,0.8001986863542381,0.94
LEPR,0.5626391166890596,0.88
PDE4B,1.365366957019311,0.88
SGIP1,0.6693239239823583,0.86
DYNLT5,0.8021802359021524,0.92
MIER1,0.7943647169732171,0.84
SLC35D1,0.7327945931329498,0.94
IL12RB2,1.5036441228351445,0.86
SERBP1,0.5339147853277274,0.86
GADD45A,1.1804253192383793,0.9
GNG12,0.6261901734537793,0.92
GNG12-AS1,0.5156943133651636,0.86
WLS,1.120552803596635,0.92
DEPDC1,0.7169827539903816,0.94
LRRC40,0.7510025899602817,0.88
SRSF11,0.8772346448017172,0.88
ANKRD13C,0.7764140232997275,0.88
ANKRD13C-DT,0.6476862759413887,0.94
CTH,0.5861797967075094,0.98
ZRANB2,0.9390450449398483,0.84
FPGT,0.9957327288156264,0.86
CRYZ,0.8275373282200872,0.86
TYW3,0.5967341457213026,0.84
ACADM,0.7612151515820101,0.82
RABGGTB,0.8889891167514357,0.84
ST6GALNAC3,1.3558709355082201,0.92
TPI1P1,0.5470895835522964,0.94
PIGK,0.7517729215835142,0.84
AK5,0.9904810075457079,0.84
ZZZ3,0.7837141615746445,0.86
USP33,0.7076134442947184,0.86
MIGA1,0.665884840559706,0.88
NEXN,0.6438430553418468,0.86
FUBP1,0.779085434321075,0.9
DNAJB4,1.0994356046296878,0.94
PTGFR,0.5639880307506872,0.9
IFI44L,1.5340237504145464,0.84
IFI44,1.295786881452297,0.82
LINC01781,0.45099995183266434,0.96
PRKACB,1.1327882135411398,0.86
RPF1,0.5349895903678337,0.92
GNG5,0.6450674036824364,0.88
SPATA1,0.6233722919299757,0.96
CTBS,0.9328121001393603,0.9
ENSG00000284882,1.1515769145429806,0.98
SSX2IP,0.6931221755844905,0.9
MCOLN2,1.131247478771357,0.86
C1orf52,0.5305516303912464,0.92
BCL10,0.5828597470669987,0.9
DDAH1,0.5137497310043134,0.86
CCN1,0.9551738231158107,0.88
ZNHIT6,0.7539327581338484,0.9
LINC02795,0.5877205139117724,0.88
ODF2L,0.6849067599413379,0.92
CLCA4-AS1,0.4110228839135627,0.9
SH3GLB1,0.93209516434071,0.9
SELENOF,0.6751738314169742,0.9
HS2ST1,0.7808577562345898,0.84
LMO4,0.4399157830781561,0.88
